beta,step,test_best_mse,test_class_mi_norm,test_class_purity,test_eff_frac_mean,test_eff_frac_min,test_expert_align_m,test_expert_diversity,test_mean_mse,test_soft_mse,test_usage_entropy,train_best_mse,train_class_mi_norm,train_class_purity,train_eff_frac_mean,train_eff_frac_min,train_expert_align_m,train_expert_diversity,train_mean_mse,train_soft_mse,train_usage_entropy,variant
1.10243,0,1.001099705696106,0.0001340314920525998,0.013671855704160407,0.9999537616968155,0.9999527931213379,0.12860022485256195,0.8642798066139221,1.0012623071670532,1.0012609958648682,0.9904470443725586,1.000993013381958,0.00038839346962049603,0.019531263737007976,0.9999546110630035,0.9999532699584961,0.12860022485256195,0.8642798066139221,1.001152515411377,1.001151204109192,0.9934868216514587,grid_1.10243
1.10243,200,0.2439776360988617,0.0,0.0361328125,0.2832315252162516,0.02321026287972927,0.07925302535295486,0.34898388385772705,0.4689227342605591,0.24397796392440796,-0.0,0.24435444176197052,0.0,0.03515625,0.2862895503640175,0.025544866919517517,0.07925302535295486,0.34898388385772705,0.47030743956565857,0.2443547546863556,-0.0,grid_1.10243
1.10243,400,0.0770227238535881,0.0,0.0087890625,0.25374447228387,0.004331253003329039,0.06605134904384613,0.534060001373291,0.42919236421585083,0.0770227238535881,-0.0,0.07598917931318283,0.0,0.025390625,0.250755015964387,0.000792971346527338,0.06605134904384613,0.534060001373291,0.4267454147338867,0.07598918676376343,-0.0,grid_1.10243
1.10243,600,0.04597845301032066,0.0,0.0234375,0.25324499839916825,0.0031311565544456244,0.06370770186185837,0.5870234966278076,0.41808784008026123,0.04597845301032066,-0.0,0.04588569700717926,0.0,0.0234375,0.25363736774306744,0.0036309505812823772,0.06370770186185837,0.5870234966278076,0.4221460819244385,0.04588569700717926,-0.0,grid_1.10243
1.10243,800,0.04089386761188507,0.0,0.015625,0.2531454043928534,0.0025308795738965273,0.06088887155056,0.6059088110923767,0.42131686210632324,0.04089386761188507,-0.0,0.04107052832841873,0.0,0.05859375,0.2572363596409559,0.00784809235483408,0.06088887155056,0.6059088110923767,0.42361950874328613,0.04107052832841873,-0.0,grid_1.10243
1.10243,1000,0.039352960884571075,0.0,0.0126953125,0.2532347310334444,0.0033608388621360064,0.060065966099500656,0.6120601296424866,0.4175422191619873,0.039352964609861374,-0.0,0.040615905076265335,0.0,0.00390625,0.2513914863811806,0.0014552428619936109,0.060065966099500656,0.6120601296424866,0.4207361340522766,0.040615908801555634,-0.0,grid_1.10243
1.10243,1200,0.04013463109731674,0.0,0.0068359375,0.2530394897912629,0.0036121360026299953,0.05893668532371521,0.6137457489967346,0.4248260259628296,0.04013463109731674,-0.0,0.03985007852315903,0.0,0.0,0.2510777719144244,0.0009428792400285602,0.05893668532371521,0.6137457489967346,0.42155978083610535,0.039850085973739624,-0.0,grid_1.10243
1.10243,1400,0.038716502487659454,0.0,0.0166015625,0.2529974894132465,0.003758241655305028,0.05834583938121796,0.6138697862625122,0.4180120825767517,0.03871650621294975,-0.0,0.039424143731594086,0.0,0.0146484375,0.2506492844549939,0.0007036200258880854,0.05834583938121796,0.6138697862625122,0.4187750220298767,0.03942415118217468,-0.0,grid_1.10243
1.10243,1600,0.03861861675977707,0.0,0.013671875,0.25529152469243854,0.0050746663473546505,0.05744116008281708,0.6136804223060608,0.4170941114425659,0.03861861675977707,-0.0,0.039591461420059204,0.0,0.02734375,0.2506301071407506,0.0007680357084609568,0.05744116008281708,0.6136804223060608,0.42008745670318604,0.0395914725959301,-0.0,grid_1.10243
1.10243,1800,0.038269951939582825,0.0,0.0341796875,0.2563956792000681,0.007169139571487904,0.05769456550478935,0.6135215759277344,0.4172174334526062,0.038269951939582825,-0.0,0.03934786841273308,0.0,0.009765625,0.2512511223030742,0.0011331774294376373,0.05769456550478935,0.6135215759277344,0.422359436750412,0.039347872138023376,-0.0,grid_1.10243
1.10243,2000,0.03866377845406532,0.0,0.0234375,0.2530918052652851,0.003243938321247697,0.056259430944919586,0.6134424209594727,0.4202043116092682,0.03866378217935562,-0.0,0.038304802030324936,0.0,0.0166015625,0.2521842166315764,0.002332908334210515,0.056259430944919586,0.6134424209594727,0.41665828227996826,0.038304802030324936,-0.0,grid_1.10243
