beta,step,test_best_mse,test_class_mi_norm,test_class_purity,test_eff_frac_mean,test_eff_frac_min,test_expert_align_m,test_expert_diversity,test_soft_mse,test_usage_entropy,variant
0.0,0,0.9995555877685547,0.0002556699328124523,0.05078126804437488,1.0,1.0,0.04413776844739914,0.8659391403198242,0.9996131062507629,0.9978679418563843,uniform
0.0,200,0.8311049938201904,0.0014573903754353523,0.03515626722946763,1.0,1.0,0.04431635141372681,0.0047643654979765415,0.8311465978622437,0.9993287324905396,uniform
0.0,400,0.7118922472000122,0.0010294733801856637,0.033203122729901224,1.0,1.0,0.044467657804489136,0.00235027726739645,0.7119243144989014,0.9968401789665222,uniform
0.0,600,0.626419186592102,0.0008498653187416494,0.03125001804437488,1.0,1.0,0.04460780695080757,0.0015555010177195072,0.6264443397521973,0.9971110224723816,uniform
0.0,800,0.5665493011474609,0.0018942212918773293,0.06054687371943146,1.0,1.0,0.044719576835632324,0.0011639168951660395,0.5665696859359741,0.9949467778205872,uniform
0.0,1000,0.518295407295227,0.0032089813612401485,0.0644531252910383,1.0,1.0,0.04482237622141838,0.0009319093078374863,0.518312931060791,0.9997329711914062,uniform
0.0,1200,0.4825708866119385,0.0029090940952301025,0.046875010128133,1.0,1.0,0.044914115220308304,0.0007787159993313253,0.4825856685638428,0.9961053729057312,uniform
0.0,1400,0.45152974128723145,0.0028062122873961926,0.052734367665834725,1.0,1.0,0.04499488323926926,0.000669858418405056,0.4515422284603119,0.9984791278839111,uniform
0.0,1600,0.42735373973846436,0.0008662025793455541,0.04101561428979039,1.0,1.0,0.04504498839378357,0.0005883381818421185,0.4273648262023926,0.9966879487037659,uniform
0.0,1800,0.4094911217689514,0.0021181050688028336,0.039062495285179466,1.0,1.0,0.04510525241494179,0.000524792936630547,0.40950101613998413,0.9983473420143127,uniform
0.0,2000,0.39243555068969727,0.007944467477500439,0.09374999802093953,1.0,1.0,0.04513830691576004,0.0004737377748824656,0.39244455099105835,0.9996422529220581,uniform
0.0,2200,0.3794092833995819,0.000709605636075139,0.02539061551215127,1.0,1.0,0.04516001045703888,0.0004317268612794578,0.37941721081733704,0.9975734949111938,uniform
0.0,2400,0.3680654764175415,0.005018908996134996,0.07617188792210072,1.0,1.0,0.04517723247408867,0.0003964941424783319,0.3680726885795593,0.9965165853500366,uniform
