beta_x,n,oracle_usage_0,oracle_usage_1,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,v_t
80.0,256,0.6171875,0.3828125,0.7734375,0.00041777139995247126,0.0001422986388206482,0.8125,0.1875,0.0009753182530403137,0.00016476656310260296,0.019999999552965164,0.9992901682853699,0.5045258402824402,0.4954741895198822,0.24428850412368774
80.0,256,0.6484375,0.3515625,0.76953125,0.00022267462918534875,5.89173287153244e-05,0.8125,0.1875,0.0005913488566875458,0.00010909934644587338,0.1495652198791504,0.9996579885482788,0.5036237835884094,0.4963762164115906,0.4168005585670471
80.0,256,0.734375,0.265625,0.7265625,0.00024208819377236068,1.6763806343078613e-05,0.92578125,0.07421875,0.00037645362317562103,5.931401392444968e-05,0.2791304588317871,0.9997758269309998,0.504700779914856,0.49529922008514404,0.5499320030212402
80.0,256,0.703125,0.296875,0.74609375,0.0002513447543606162,0.00011240504682064056,1.0,0.0,0.00047983601689338684,7.362946053035557e-05,0.40869566798210144,0.99974125623703,0.5047988295555115,0.4952011704444885,0.652672529220581
80.0,256,0.62890625,0.37109375,0.65234375,9.285917622037232e-05,1.3070181012153625e-05,0.89453125,0.10546875,0.0003371722996234894,6.14255404798314e-05,0.5382608771324158,0.9999176859855652,0.501998245716095,0.4980018138885498,0.7319595813751221
80.0,256,0.62109375,0.37890625,0.55859375,7.988515426404774e-05,5.451962351799011e-06,0.875,0.125,0.0003304481506347656,6.916366692166775e-05,0.6678261160850525,0.9999282956123352,0.5013444423675537,0.4986555874347687,0.7931471467018127
80.0,256,0.4921875,0.5078125,0.46875,4.956631164532155e-05,4.027038812637329e-06,0.7734375,0.2265625,0.00036859605461359024,8.236799476435408e-05,0.7973913550376892,0.9999440908432007,0.4998883903026581,0.5001115798950195,0.8403671383857727
80.0,256,0.48046875,0.51953125,0.34375,2.9876508051529527e-05,3.053806722164154e-06,0.7578125,0.2421875,0.00027902889996767044,8.130574133247137e-05,0.9269565939903259,0.9999558925628662,0.4996201694011688,0.5003798604011536,0.8768077492713928
80.0,256,0.203125,0.796875,0.2890625,0.00011748020187951624,9.176880121231079e-05,0.0,1.0,0.00011528842151165009,1.6764708561822772e-05,1.0565217733383179,0.9999464154243469,0.4971717894077301,0.5028282403945923,0.9049296975135803
80.0,256,0.23828125,0.76171875,0.20703125,5.200557643547654e-05,3.17208468914032e-05,0.0,1.0,0.00011822674423456192,2.0016857888549566e-05,1.1860870122909546,0.9999614357948303,0.4978306293487549,0.5021693706512451,0.9266321659088135
80.0,256,0.16015625,0.83984375,0.16796875,0.00017054191266652197,0.000141131691634655,0.0,1.0,8.582929149270058e-05,1.0483257938176394e-05,1.3156522512435913,0.9999552369117737,0.4971310496330261,0.5028690099716187,0.9433802962303162
80.0,256,0.13671875,0.86328125,0.171875,0.00016187442815862596,0.00011893641203641891,0.0,1.0,6.059277802705765e-05,7.33967317501083e-06,1.445217490196228,0.9999557137489319,0.49702149629592896,0.502978503704071,0.9563053250312805
80.0,256,0.1328125,0.8671875,0.140625,0.0001334189437329769,9.92119312286377e-05,0.0,1.0,8.021388202905655e-05,9.124574717134237e-06,1.5747824907302856,0.9999539256095886,0.4970088005065918,0.5029911994934082,0.966279923915863
80.0,256,0.08203125,0.91796875,0.1328125,0.00019931449787691236,0.0001886468380689621,0.0,1.0,2.5025103241205215e-05,4.655397788155824e-06,1.7043477296829224,0.9999380111694336,0.49624645709991455,0.5037535429000854,0.9739774465560913
80.0,256,0.05859375,0.94140625,0.13671875,0.00019385333871468902,0.00017817970365285873,0.0,1.0,1.5383120626211166e-05,3.27174348058179e-06,1.833912968635559,0.9999450445175171,0.49639037251472473,0.5036096572875977,0.9799178242683411
80.0,256,0.1328125,0.8671875,0.1328125,0.00012034422252327204,0.00011588213965296745,0.0,1.0,5.166139453649521e-05,6.145499355625361e-06,1.9634782075881958,0.9999691843986511,0.49752292037010193,0.5024771094322205,0.9845020771026611
