A_ck_rank,A_ck_s1,A_ck_s2,A_ck_std,bayes_risk_excess_mean,beta,beta_gap,beta_times_lambda_class,beta_times_lambda_free,beta_times_lambda_trans,cost_gap_mean,instability_class,instability_free,instability_trans,mean_expert_mse,oracle_best_mse,oracle_class_mi_norm,oracle_usage_entropy,posterior_acc,posterior_ce,rho,risk_margin_mean,risk_margin_p95,soft_oracle_mse,t,teacher_entropy_norm
1.0,2.9802322387695312e-08,0.0,7.450580596923828e-09,0.0,13.112054277125447,3.952309555188549e-07,0.24999999999999997,0.2864899495506588,0.035531583885205935,3.0142565776714036e-08,0.0,0.0,0.0,0.1670597493648529,0.1670597344636917,0.00872879365958845,0.9766490459442139,1.0,1.796072091053702e-08,0.5,0.0,0.0,0.1670597493648529,0.5,1.0
3.0,0.005182661581784487,0.0031813043169677258,0.0016862194752320647,0.0,26.224108554250893,0.3525349795818329,0.49999999999999994,0.5729798991013176,0.07106316777041187,0.013443163596093655,0.0,1.0,0.0,0.1698540598154068,0.15641088783740997,0.00537533817968467,0.9986581802368164,1.0,1.796072091053702e-08,1.0,0.0013189376331865788,0.0033210068941116333,0.16594046354293823,0.5,0.96455979347229
3.0,0.8814781904220581,0.8796505331993103,0.3925895392894745,0.0,52.44821710850179,12.563932418823242,0.9999999999999999,1.1459597982026353,0.14212633554082374,0.23954927921295166,1.0,1.0,0.0,0.38163337111473083,0.14208412170410156,0.20927481726002947,0.9989800453186035,1.0,1.796072091053702e-08,2.0,0.0024578243028372526,0.003656163811683655,0.14769837260246277,0.5,0.5875792503356934
3.0,1.825012141409843e-08,1.2904783019962451e-08,5.771195077386437e-09,0.0,14.004811300702954,2.732594737153704e-07,0.25,0.2768121496455383,0.017629679279488154,1.951182859727396e-08,0.0,0.0,0.0,0.09781146049499512,0.09781143814325333,0.005994310295547003,0.9835890531539917,0.9986666440963745,0.005365515593439341,0.5,1.922249692754008e-09,7.450580596923828e-09,0.09781146049499512,0.8,1.0
3.0,0.013904525898396969,0.007672732230275869,0.004161716904491186,0.0,28.00962260140591,0.32212910056114197,0.5,0.5536242992910766,0.03525935855897631,0.011500658467411995,0.0,1.0,0.0,0.10016259551048279,0.08866194635629654,0.036481192935615706,0.9942739009857178,0.9986666440963745,0.005365515593439341,1.0,0.0015700472285971045,0.0029659494757652283,0.09691303223371506,0.8,0.9687030911445618
3.0,0.41861841082572937,0.4149600565433502,0.15817132592201233,0.0,56.01924520281182,5.676778316497803,1.0,1.1072485985821532,0.07051871711795261,0.10133621841669083,1.0,1.0,0.0,0.1767120361328125,0.07537581026554108,0.2027570431724151,0.989302933216095,0.9986666440963745,0.005365515593439341,2.0,0.0015960579039528966,0.003112219274044037,0.08073544502258301,0.8,0.5769134163856506
3.0,1.467477872552081e-08,9.578282167410634e-09,4.712160883713068e-09,0.0,16.05380543946392,2.5358355060234317e-07,0.25,0.2831387455261311,0.010278207614371546,1.5795851737721023e-08,0.0,0.0,0.0,0.06429487466812134,0.06429485976696014,0.0058646443184287795,0.9840575456619263,0.972000002861023,0.08737235516309738,0.5,1.8030404946856038e-09,7.450580596923828e-09,0.06429487466812134,1.1,1.0
3.0,0.2088600993156433,0.2065952569246292,0.09247718751430511,0.0,32.10761087892784,2.063593626022339,0.5,0.5662774910522622,0.020556415228743092,0.06427116692066193,0.0,1.0,0.0,0.10776197910308838,0.04349081963300705,0.2079934862018184,0.9998289346694946,0.972000002861023,0.08737235516309738,1.0,0.0009926570346578956,0.0018588934326544404,0.050811924040317535,1.1,0.7378963232040405
3.0,0.3214491307735443,0.22568267583847046,0.10181280970573425,0.0,64.21522175785567,5.657279968261719,1.0,1.1325549821045244,0.041112830457486184,0.08809873461723328,1.0,1.0,0.0,0.12868373095989227,0.0405849888920784,0.3903488974760979,0.9895105957984924,0.972000002861023,0.08737235516309738,2.0,0.009004886262118816,0.021482234820723534,0.04422982409596443,1.1,0.47807633876800537
3.0,9.403890999237774e-09,5.2683555296084705e-09,2.8755606784613974e-09,0.0,19.607716034210213,2.587842402590468e-07,0.24999999999999997,0.2725129885786992,0.006569278591983797,1.3198082626786345e-08,0.0,0.0,0.0,0.04402835667133331,0.04402834549546242,0.002698538941563792,0.9928358197212219,0.8793333172798157,0.32933133840560913,0.5,7.69893315766268e-11,0.0,0.04402836039662361,1.4,1.0
3.0,0.09977222979068756,0.09791213274002075,0.04386007413268089,0.0,39.21543206842043,1.3499314785003662,0.49999999999999994,0.5450259771573984,0.013138557183967593,0.034423477947711945,0.0,1.0,0.0,0.06256245821714401,0.028138982132077217,0.2090861380210306,0.9997378587722778,0.8793333172798157,0.32933133840560913,1.0,0.0019400964956730604,0.00904473103582859,0.03479483723640442,1.4,0.7671921849250793
3.0,0.1776900440454483,0.17375054955482483,0.06417083740234375,0.0,78.43086413684085,5.490652561187744,0.9999999999999999,1.0900519543147968,0.026277114367935187,0.07000627368688583,1.0,1.0,0.0,0.09245924651622772,0.02245297282934189,0.5001236609637701,0.9995631575584412,0.8793333172798157,0.32933133840560913,2.0,0.007530219852924347,0.039040613919496536,0.024569600820541382,1.4,0.3849262297153473
3.0,4.986671964246625e-09,2.9802991186045347e-09,1.5017125321037383e-09,0.0,26.54441656967632,3.55728786871623e-07,0.25,0.2828882325078688,0.004826494607270667,1.3401265874790624e-08,0.0,0.0,0.0,0.028570543974637985,0.02857053093612194,0.006326567724642285,0.9981028437614441,0.765999972820282,0.6111554503440857,0.5,1.6267100999556305e-09,3.725290298461914e-09,0.028570543974637985,1.7,1.0
3.0,0.04334437847137451,0.041415486484766006,0.01873137801885605,0.0,53.08883313935264,0.9008467793464661,0.5,0.5657764650157376,0.009652989214541333,0.01696866750717163,0.0,1.0,0.0,0.03547157347202301,0.01850290410220623,0.2052604670866225,0.9991121888160706,0.765999972820282,0.6111554503440857,1.0,0.001864726422354579,0.006729391869157553,0.024068893864750862,1.7,0.8323726058006287
