bayes_risk_excess_mean,beta,beta_times_lambda_class,linear_router_acc_vs_risk,linear_router_class_mi_norm,linear_router_excess_mean,linear_router_excess_p95,linear_router_mean_conf,linear_router_usage_entropy,posterior_acc,rho,risk_label_class_mi_norm,risk_label_usage_entropy,risk_margin_mean,risk_margin_train_mean,t
0.0,29.064381119266134,0.25,0.987000048160553,0.1757088509122483,7.823482519597746e-07,0.0,0.9374471306800842,0.9996183514595032,0.7455000281333923,0.5,0.18210933114012137,0.9991161823272705,0.001236642710864544,0.001216053031384945,0.5
0.0,58.12876223853227,0.5,0.9890000224113464,0.16857661344282737,4.780352355737705e-06,0.0,0.9384270906448364,0.9873945116996765,0.7455000281333923,1.0,0.17552860576176993,0.988879919052124,0.0091064078733325,0.008911226876080036,0.5
0.0,116.25752447706454,1.0,0.9850000739097595,0.176293090581795,9.107568075705785e-06,0.0,0.9381622672080994,0.9984058737754822,0.7455000281333923,2.0,0.1791765391196155,0.9987871050834656,0.010899212211370468,0.01077184360474348,0.5
0.0,36.26276168488796,0.25,1.0,0.0,0.0,0.0,0.9572683572769165,3.986313709680722e-11,0.7055000066757202,0.5,0.0,3.986313709680722e-11,7.398426760119037e-09,7.526018031001058e-09,0.8
0.0,72.52552336977593,0.5,0.9880000352859497,0.12178711284814037,1.4063492699278868e-06,0.0,0.9307308793067932,0.9980484843254089,0.7055000066757202,1.0,0.12294068415723913,0.9983373284339905,0.0021403790451586246,0.0021305205300450325,0.8
0.0,145.05104673955185,1.0,0.9855000376701355,0.1246793469337772,2.2402928152587265e-06,0.0,0.9290445446968079,0.9872021675109863,0.7055000066757202,2.0,0.1251295568307375,0.9877746105194092,0.0029710372909903526,0.002982496516779065,0.8
0.0,46.00484752324296,0.24999999999999997,0.6805000305175781,0.05733160410128952,1.1697411927968915e-09,7.450580596923828e-09,0.6868144869804382,0.9998961091041565,0.6500000357627869,0.5,0.01607445366901816,0.9999992251396179,3.729015762843346e-09,3.710389329114605e-09,1.1
0.0,92.00969504648592,0.49999999999999994,0.9820000529289246,0.07723553978622635,3.4882128829849535e-07,0.0,0.9285862445831299,0.9262468814849854,0.6500000357627869,1.0,0.0725264741598748,0.9233760237693787,0.00040948338573798537,0.0004117210628464818,1.1
0.0,184.01939009297183,0.9999999999999999,0.9980000257492065,0.0,3.620237265522519e-08,0.0,0.9548429250717163,3.986313709680722e-11,0.6500000357627869,2.0,0.09622774622404372,0.020814035087823868,0.0005120621062815189,0.0005065607838332653,1.1
0.0,66.23358714586736,0.25,1.0,0.0,0.0,0.0,0.9548909068107605,3.986313709680722e-11,0.6050000190734863,0.5,0.0,3.986313709680722e-11,6.055912672309205e-05,5.938527101534419e-05,1.4
0.0,132.46717429173472,0.5,0.9810000658035278,0.034756292782612976,3.8721412920494913e-07,0.0,0.9207809567451477,0.9673324227333069,0.6050000190734863,1.0,0.03353888100046443,0.9660781025886536,0.00038709797081537545,0.0003829716006293893,1.4
0.0,264.93434858346944,1.0,0.9845000505447388,0.032844751580074834,1.36815017981462e-07,0.0,0.9157648086547852,0.9783018231391907,0.6050000190734863,2.0,0.034443454258539744,0.9785531759262085,0.00024190862313844264,0.0002456722722854465,1.4
0.0,102.87848518792437,0.25,0.9730000495910645,0.026994607713928944,3.489060418360168e-07,0.0,0.9154968857765198,0.16066493093967438,0.5905000567436218,0.5,0.04154547849469458,0.2885170876979828,0.0001541284582344815,0.00015105464262887836,1.7
0.0,205.75697037584874,0.5,0.9785000681877136,0.02128089934483326,2.3593288744905294e-07,0.0,0.8889133930206299,0.5709929466247559,0.5905000567436218,1.0,0.02195239656972686,0.5907487869262695,0.00021332583855837584,0.00021885603200644255,1.7
0.0,411.5139407516975,1.0,0.999500036239624,0.0,4.043802626085835e-09,0.0,0.9551042914390564,3.986313709680722e-11,0.5905000567436218,2.0,0.08062147752795981,0.006204093340784311,0.000563580309972167,0.0005708717508241534,1.7
0.0,169.72429435846377,0.25,0.983500063419342,0.01314218324593881,1.5406870446099674e-08,0.0,0.9210368990898132,0.9828242659568787,0.5825000405311584,0.5,0.013834789348090726,0.9802711606025696,2.259789835079573e-05,2.3029508156469092e-05,2.0
0.0,339.44858871692753,0.5,1.0,0.0,0.0,0.0,0.9574207067489624,3.986313709680722e-11,0.5825000405311584,1.0,0.0,3.986313709680722e-11,0.00034615275217220187,0.0003464758046902716,2.0
0.0,678.8971774338551,1.0,1.0,0.0,0.0,0.0,0.957403838634491,3.986313709680722e-11,0.5825000405311584,2.0,0.0,3.986313709680722e-11,0.0007479565683752298,0.0007483159424737096,2.0
0.0,286.7771297403636,0.25,1.0,0.0,0.0,0.0,0.9571244120597839,3.986313709680722e-11,0.5215000510215759,0.5,0.0,3.986313709680722e-11,7.142488902900368e-05,7.119585643522441e-05,2.3
0.0,573.5542594807272,0.5,1.0,0.0,0.0,0.0,0.9589835405349731,3.986313709680722e-11,0.5215000510215759,1.0,0.0,3.986313709680722e-11,0.00015641810023225844,0.0001562369434395805,2.3
0.0,1147.1085189614544,1.0,1.0,0.0,0.0,0.0,0.9569403529167175,3.986313709680722e-11,0.5215000510215759,2.0,0.0,3.986313709680722e-11,0.0008987418841570616,0.0008986981119960546,2.3
0.0,487.52287186416544,0.25,1.0,0.0,0.0,0.0,0.9578721523284912,3.986313709680722e-11,0.5295000076293945,0.5,0.0,3.986313709680722e-11,3.6055862437933683e-05,3.625549652497284e-05,2.6
0.0,975.0457437283309,0.5,1.0,0.0,0.0,0.0,0.9589647650718689,3.986313709680722e-11,0.5295000076293945,1.0,0.0,3.986313709680722e-11,8.595229883212596e-05,8.565335156163201e-05,2.6
0.0,1950.0914874566618,1.0,1.0,0.0,0.0,0.0,0.9554796814918518,3.986313709680722e-11,0.5295000076293945,2.0,0.0,3.986313709680722e-11,0.00019975185568910092,0.00019998998322989792,2.6
0.0,1065.385076632033,0.25,1.0,0.0,0.0,0.0,0.9558463096618652,3.986313709680722e-11,0.5024999976158142,0.5,0.0,3.986313709680722e-11,2.9318054657778703e-05,2.9375654776231386e-05,3.0
