beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.013706393539905548,0.013483654707670212,0.013706393539905548,0.0,1,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.015535961836576462,0.015522276982665062,0.015535961836576462,0.0,500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.014283938333392143,0.014277883805334568,0.014283938333392143,0.0,1000,1.0,0.25,0.25,0.25,0.25
2.240000009536743,2.240000009536743,2.240000009536743,0.013659609481692314,0.013656023889780045,0.013659601099789143,0.028000000000000004,1500,1.0,0.25000011920928955,0.2500000596046448,0.24999989569187164,0.24999989569187164
8.319999694824219,8.319999694824219,8.319999694824219,0.012824972160160542,0.01282290555536747,0.012824971228837967,0.10400000000000002,2000,1.0,0.24999982118606567,0.2499997466802597,0.2499999701976776,0.2500004768371582
17.280000686645508,17.280000686645508,17.280000686645508,0.014610502868890762,0.014608899131417274,0.014610502868890762,0.216,2500,1.0,0.25000065565109253,0.24999988079071045,0.2500000596046448,0.24999944865703583
28.15999984741211,28.15999984741211,28.15999984741211,0.013453259132802486,0.013452122919261456,0.013453258201479912,0.3520000000000001,3000,1.0,0.2499994933605194,0.24999959766864777,0.24999992549419403,0.2500010132789612
40.0,40.0,40.0,0.015245126560330391,0.015244263224303722,0.015245127491652966,0.5,3500,1.0,0.24999907612800598,0.2499994933605194,0.2500002980232239,0.2500011622905731
51.84000015258789,51.84000015258789,51.84000015258789,0.015143996104598045,0.015143308788537979,0.015143996104598045,0.648,4000,1.0,0.25000011920928955,0.250000536441803,0.24999938905239105,0.24999994039535522
62.71999740600586,62.71999740600586,62.71999740600586,0.013551054522395134,0.01355058141052723,0.013551054522395134,0.7839999999999999,4500,1.0,0.24999968707561493,0.2499997913837433,0.25000083446502686,0.2499997317790985
71.68000030517578,71.68000030517578,71.68000030517578,0.01431688480079174,0.014316541142761707,0.01431688480079174,0.8960000000000001,5000,1.0,0.24999988079071045,0.2499992847442627,0.25000062584877014,0.2500002384185791
77.76000213623047,77.76000213623047,77.76000213623047,0.013910701498389244,0.013910463079810143,0.013910701498389244,0.972,5500,1.0,0.24999988079071045,0.2500001788139343,0.25000008940696716,0.24999985098838806
80.0,80.0,80.0,0.013718787580728531,0.01371860783547163,0.013718786649405956,1.0,6000,1.0,0.2499999701976776,0.24999958276748657,0.2500004470348358,0.25
80.0,80.0,80.0,0.013860752806067467,0.01386063452810049,0.013860752806067467,1.0,6500,1.0000001192092896,0.25000011920928955,0.25000008940696716,0.24999991059303284,0.24999991059303284
