C,a,b,beta_eps_emp_acc,beta_eps_emp_ece,beta_eps_emp_nll,beta_eps_emp_nll_min,beta_eps_emp_over_theory,beta_eps_mse,beta_route_dot,beta_x_emp_acc,beta_x_emp_ece,beta_x_emp_nll,beta_x_emp_nll_min,beta_x_emp_over_theory,beta_x_mse,d,dataset,feature_mode,kl_qeps_nopx_to_px,kl_qeps_to_px,px_acc,px_ece,px_entropy,px_nll,qeps_acc,qeps_ece,qeps_entropy,qeps_nll,qeps_nopx_acc,qeps_nopx_entropy,qeps_nopx_nll,route_A_diag,route_A_offdiag,route_C,route_d,route_mean_expert_mse,route_oracle_mse,route_posterior_argmax_agree_oracle,route_posterior_argmax_class_acc,route_posterior_argmax_excess_vs_oracle,route_posterior_argmax_mse,route_qeps_argmax_agree_oracle,route_qeps_argmax_class_acc,route_qeps_argmax_excess_vs_oracle,route_qeps_argmax_mse,route_risk_analytic_agree_oracle,route_risk_analytic_class_acc,route_risk_analytic_excess_vs_oracle,route_risk_analytic_mse,route_risk_empA_agree_oracle,route_risk_empA_class_acc,route_risk_empA_excess_vs_oracle,route_risk_empA_mse,route_t,sigma2_iso,snr_class,t,tau2,v
10,0.8607079764250578,0.5090989877403825,0.8618000149726868,0.02846740186214447,0.44896912574768066,96.44947445582504,1.1050137103527577,87.28350929241874,0.8858651145428326,0.7937999963760376,0.017784928902983665,0.6762083768844604,80.43166865493437,1.2210553000675683,65.87061916891365,128,mnist,pca,2.3194992542266846,0.2313547432422638,0.7936000227928162,0.0710015743970871,0.38191118836402893,0.6954502463340759,0.86080002784729,0.026931945234537125,0.2307947278022766,0.44900527596473694,0.4603999853134155,0.7478491067886353,1.6137888431549072,0.7338969707489014,0.7512499690055847,10,128,0.7451580166816711,0.7222458720207214,0.39160001277923584,0.7936000227928162,0.011025249026715755,0.7332711219787598,0.47279998660087585,0.86080002784729,0.006717192009091377,0.7289630770683289,0.3887999951839447,0.7911999821662903,0.011052270419895649,0.733298122882843,0.3889999985694885,0.7922000288963318,0.01105566881597042,0.7333014607429504,0.15,0.961666190592448,0.7624711701237135,0.15,0.7332427456094378,0.9716016155227452
10,0.7788007830714049,0.6272713450233213,0.8597999811172485,0.017894145101308823,0.4475986957550049,118.42780315192283,1.1050137103527577,107.17315273320607,0.7973394276537149,0.7233999967575073,0.018374869599938393,0.8862450122833252,80.00777032604664,1.2210553000675683,65.52346181341609,128,mnist,pca,1.817874550819397,0.42227694392204285,0.722599983215332,0.08065265417098999,0.477361261844635,0.9060268402099609,0.86080002784729,0.026931939646601677,0.230794757604599,0.4490053355693817,0.5838000178337097,0.6344095468521118,1.2880867719650269,0.5983926057815552,0.619595468044281,10,128,0.6118670105934143,0.5876699090003967,0.44780001044273376,0.722599983215332,0.011847586371004581,0.5995174646377563,0.6074000000953674,0.86080002784729,0.004091321490705013,0.5917612314224243,0.4422000050544739,0.7175999879837036,0.011802878230810165,0.5994727611541748,0.4410000145435333,0.7156000137329102,0.01185719482600689,0.5995270013809204,0.25,0.961666190592448,0.6209685706304189,0.25,0.5971644797957923,0.9767493692907391
10,0.7046880897187134,0.7095172275629328,0.8604000210762024,0.018140487372875214,0.44688940048217773,145.27219444108744,1.1050137103527577,131.466418090606,0.7183628495124655,0.6449999809265137,0.02464604377746582,1.0936424732208252,79.66402407569282,1.2210553000675683,65.24194610291977,128,mnist,pca,1.5125393867492676,0.6174743175506592,0.6442000269889832,0.07802027463912964,0.5652658343315125,1.1122816801071167,0.86080002784729,0.026931947097182274,0.230794757604599,0.4490051865577698,0.6700000166893005,0.5445235967636108,1.0546011924743652,0.4878193438053131,0.5098006129264832,10,128,0.501662015914917,0.4781300723552704,0.45559999346733093,0.6442000269889832,0.013013884425163269,0.49114394187927246,0.6995999813079834,0.86080002784729,0.002482145791873336,0.48061221837997437,0.4490000009536743,0.6395999789237976,0.012926395982503891,0.49105650186538696,0.4490000009536743,0.6389999985694885,0.012920381501317024,0.49105048179626465,0.35,0.961666190592448,0.5062217441478309,0.35,0.4868163362897095,0.9809639936098689
10,0.6065306597126334,0.7950600976206501,0.8600000143051147,0.014094988815486431,0.44767680764198303,197.08322629565848,1.1050137103527577,178.35364796762823,0.615206436460531,0.545199990272522,0.016590435057878494,1.369733452796936,79.26535673370616,1.2210553000675683,64.91545201050266,128,mnist,pca,1.3529061079025269,0.8908217549324036,0.5443999767303467,0.07001562416553497,0.6697654724121094,1.383032202720642,0.86080002784729,0.02693190798163414,0.230794757604599,0.4490051865577698,0.7441999912261963,0.44414061307907104,0.8441492915153503,0.3602745532989502,0.3804936408996582,10,128,0.37239477038383484,0.35171663761138916,0.43779999017715454,0.5443999767303467,0.013285400345921516,0.3650020360946655,0.7955999970436096,0.86080002784729,0.0011568368645384908,0.35287344455718994,0.4259999990463257,0.5357999801635742,0.01318841427564621,0.36490505933761597,0.42500001192092896,0.5343999862670898,0.01322526391595602,0.36494189500808716,0.5,0.961666190592448,0.3731415657658641,0.5,0.35883762810175995,0.9858977796171772
10,0.4965853037914095,0.8679879239127659,0.8583999872207642,0.014265508390963078,0.4459224045276642,295.40011085205356,1.1050137103527577,267.32710018389895,0.5013243231273877,0.4327999949455261,0.017611179500818253,1.6637599468231201,71.39578186106283,1.1050137103527577,64.61076563318919,128,mnist,pca,1.3553038835525513,1.158888578414917,0.4334000051021576,0.0480538047850132,0.7698127627372742,1.6702051162719727,0.86080002784729,0.026931941509246826,0.230794757604599,0.4490051865577698,0.800000011920929,0.36783266067504883,0.673687219619751,0.24072153866291046,0.2567424476146698,10,128,0.2501579225063324,0.23434379696846008,0.36899998784065247,0.4334000051021576,0.012142494320869446,0.24648630619049072,0.8519999980926514,0.86080002784729,0.00046948264935053885,0.23481328785419464,0.35679998993873596,0.41600000858306885,0.011880556121468544,0.2462243139743805,0.3564000129699707,0.41600000858306885,0.011889076791703701,0.24623286724090576,0.7,0.961666190592448,0.24895029129823662,0.7,0.23940707827965546,0.9905469989837815
10,0.4274149319487267,0.9040555712716256,0.8610000014305115,0.013568754307925701,0.4457603394985199,399.7347165260351,1.1050137103527577,361.74638629454313,0.43042920849563904,0.3718000054359436,0.01389613002538681,1.830056071281433,71.21962532180683,1.1050137103527577,64.45134992856434,128,mnist,pca,1.4291629791259766,1.319030523300171,0.3736000061035156,0.040679674595594406,0.8260620832443237,1.8337113857269287,0.86080002784729,0.02693195641040802,0.230794757604599,0.4490053355693817,0.8184000253677368,0.3240756094455719,0.6031750440597534,0.17787843942642212,0.19075986742973328,10,128,0.18528689444065094,0.1727396547794342,0.33000001311302185,0.3736000061035156,0.010353002697229385,0.18309266865253448,0.8858000040054321,0.86080002784729,0.00025333286612294614,0.17299297451972961,0.31060001254081726,0.35100001096725464,0.010147427208721638,0.18288707733154297,0.31040000915527344,0.35100001096725464,0.010157649405300617,0.18289728462696075,0.85,0.961666190592448,0.18397187085790787,0.85,0.17691952822409004,0.9929970446070625
10,0.33287108369807955,0.9429723440470914,0.8605999946594238,0.0181803647428751,0.4451558589935303,660.8799179705559,1.1050137103527577,598.0739530911166,0.33429098705726223,0.295199990272522,0.010062399320304394,2.0226309299468994,71.0225462358381,1.1050137103527577,64.27300002745243,128,mnist,pca,1.5473854541778564,1.5011086463928223,0.29420000314712524,0.026442933827638626,0.8903564810752869,2.0230588912963867,0.86080002784729,0.026931917294859886,0.2307947278022766,0.44900527596473694,0.8385999798774719,0.2841416895389557,0.5352587103843689,0.10763424634933472,0.1160687580704689,10,128,0.11255825310945511,0.10440430790185928,0.2662000060081482,0.29420000314712524,0.007317929994314909,0.11172223836183548,0.9193999767303467,0.86080002784729,8.525467274012044e-05,0.10448957234621048,0.2393999993801117,0.26019999384880066,0.006994472350925207,0.11139879375696182,0.24160000681877136,0.2621999979019165,0.006979695055633783,0.11138401180505753,1.1,0.961666190592448,0.11127580313225158,1.1,0.10701017770330755,0.9957524928455834
10,0.2725317930340126,0.9621467776725473,0.8615999817848206,0.014396275393664837,0.4454137086868286,987.3034701769787,1.1050137103527577,893.4762174686485,0.27330995819284987,0.24779999256134033,0.004854158032685518,2.0940749645233154,70.92280811525785,1.1050137103527577,64.18274040474746,128,mnist,pca,1.5971609354019165,1.575696587562561,0.24819999933242798,0.0174496378749609,0.9237485527992249,2.095608711242676,0.86080002784729,0.026931921020150185,0.23079471290111542,0.44900521636009216,0.8465999960899353,0.26665130257606506,0.5092739462852478,0.07199965417385101,0.07787751406431198,10,128,0.07530857622623444,0.06967924535274506,0.23019999265670776,0.24819999933242798,0.00526030920445919,0.0749395564198494,0.9362000226974487,0.86080002784729,3.8639558624709025e-05,0.0697178840637207,0.19760000705718994,0.21539999544620514,0.004902475513517857,0.07458172738552094,0.19779999554157257,0.21639999747276306,0.004906961228698492,0.07458621263504028,1.3,0.961666190592448,0.0744856529603484,1.3,0.07163033413616934,0.9971528108087149
10,0.22313016014842982,0.9747886599833505,0.8605999946594238,0.013921455480158329,0.44444701075553894,1474.2701872503155,1.1050137103527577,1334.1646112062072,0.22355682460549448,0.20440000295639038,0.008000480942428112,2.187340259552002,64.12237935577141,1.0,64.12237935577141,128,mnist,pca,1.6736981868743896,1.6572792530059814,0.20440000295639038,0.008000477217137814,0.9481342434883118,2.1873397827148438,0.86080002784729,0.026931915432214737,0.230794757604599,0.449005126953125,0.8501999974250793,0.2518444359302521,0.4819788932800293,0.048231448978185654,0.052252307534217834,10,128,0.05056013911962509,0.046685609966516495,0.19300000369548798,0.20440000295639038,0.0037818821147084236,0.050467491149902344,0.9509999752044678,0.86080002784729,1.644716212467756e-05,0.046702057123184204,0.1599999964237213,0.16439999639987946,0.0034946068190038204,0.05018021911382675,0.16099999845027924,0.16539999842643738,0.003496702993288636,0.05018231272697449,1.5,0.961666190592448,0.04988227007649842,1.5,0.04797009264256989,0.9980914720102256
10,0.16529888822158653,0.9862435183831159,0.8618000149726868,0.015415449626743793,0.4442145526409149,2688.6130323530965,1.1050137103527577,2433.103777051599,0.1654722075131173,0.17020000517368317,0.004499532748013735,2.238513946533203,64.06710531920275,1.0,64.06710531920275,128,mnist,pca,1.7110371589660645,1.7063435316085815,0.17020000517368317,0.004499532748013735,0.9702657461166382,2.2385141849517822,0.86080002784729,0.026931896805763245,0.23079468309879303,0.44900521636009216,0.8551999926567078,0.24351255595684052,0.4653444290161133,0.02643236517906189,0.02869003638625145,10,128,0.02775915153324604,0.02559514530003071,0.16099999845027924,0.17020000517368317,0.0021701769437640905,0.027765322476625443,0.9648000001907349,0.86080002784729,4.758833256346406e-06,0.025599908083677292,0.131400004029274,0.12759999930858612,0.0019620496314018965,0.027557196095585823,0.13339999318122864,0.13099999725818634,0.0019608803559094667,0.027556026354432106,1.8,0.961666190592448,0.02735237193348995,1.8,0.026303851320947067,0.9989525776314006
