beta,step,test_best_mse,test_class_mi_norm,test_class_purity,test_eff_frac_mean,test_eff_frac_min,test_expert_align_m,test_expert_diversity,test_soft_mse,test_usage_entropy,variant
0.0,0,0.9996128678321838,0.0027077554259449244,0.06333333556746013,1.0000001192092896,1.0000001192092896,0.08594169467687607,0.8666334748268127,0.9997304677963257,0.994344174861908,uniform
0.0,100,0.8860886693000793,0.0007666507735848427,0.060000003195971985,1.0000001192092896,1.0000001192092896,0.08507493883371353,0.007791690528392792,0.8861845135688782,0.9992026090621948,uniform
0.0,200,0.7953386902809143,0.002065737033262849,0.04666666351955051,1.0000001192092896,1.0000001192092896,0.08442225307226181,0.0038527511060237885,0.7954179048538208,0.999187171459198,uniform
0.0,300,0.7312197089195251,0.003421664936468005,0.06333334704762805,1.0000001192092896,1.0000001192092896,0.08390431851148605,0.002544117858633399,0.7312847971916199,0.99973464012146,uniform
0.0,400,0.6655755043029785,0.0049456642009317875,0.07666668838049517,1.0000001192092896,1.0000001192092896,0.08349592238664627,0.0018970774253830314,0.6656327247619629,0.9977896809577942,uniform
0.0,500,0.6218883395195007,0.003688820404931903,0.0733333399337548,1.0000001192092896,1.0000001192092896,0.08321640640497208,0.0015125134959816933,0.6219384670257568,0.9966471791267395,uniform
0.8171559531050665,0,1.0038124322891235,0.003944612108170986,0.08000000229879145,0.99995157122612,0.999949038028717,0.08778355270624161,0.8648597002029419,1.0039262771606445,0.9949178099632263,hard_cold
0.8171559531050665,100,0.8903473019599915,0.005065822042524815,0.06999999424324965,0.9999341517686844,0.9999323487281799,0.08534009009599686,0.009037447161972523,0.8904842138290405,0.9296007752418518,hard_cold
0.8171559531050665,200,0.788337767124176,0.0,0.013333320617675781,0.9950261116027832,0.986233651638031,0.0785723403096199,0.03698581084609032,0.7927364706993103,-0.0,hard_cold
0.8171559531050665,300,0.6693139672279358,0.0,0.013333320617675781,0.5057452023029327,0.2716617286205292,0.07586634904146194,0.26753702759742737,0.6693193912506104,-0.0,hard_cold
0.8171559531050665,400,0.5890296697616577,0.0,0.009999990463256836,0.3407678101211786,0.10166359692811966,0.07245150953531265,0.3900793194770813,0.5890296697616577,-0.0,hard_cold
0.8171559531050665,500,0.5439487099647522,0.0,0.009999990463256836,0.2747158296406269,0.022574778646230698,0.07079727947711945,0.4614320397377014,0.5439487099647522,-0.0,hard_cold
0.20979684593917466,0,1.0063328742980957,0.002921739127486944,0.06000000588290355,0.9999968260526657,0.9999962449073792,0.09187676757574081,0.8657745122909546,1.006442904472351,0.9996080994606018,fixed_class
0.20979684593917466,100,0.8903815150260925,0.001886029727756977,0.07666666051125581,0.9999973177909851,0.9999971985816956,0.09170925617218018,0.008038632571697235,0.8904821872711182,0.994884192943573,fixed_class
0.20979684593917466,200,0.8014879822731018,0.00023526832228526473,0.013333330936224463,0.9999982118606567,0.9999982118606567,0.09215357154607773,0.004062381107360125,0.8015769720077515,0.9951944351196289,fixed_class
0.20979684593917466,300,0.7290995717048645,0.00237763742916286,0.05666665828950368,0.9999986588954926,0.9999982118606567,0.09233512729406357,0.0027186560910195112,0.7291836738586426,0.9620023369789124,fixed_class
0.20979684593917466,400,0.6720044016838074,0.001494319410994649,0.03666667660726297,0.9999985545873642,0.9999982118606567,0.09219704568386078,0.002048201858997345,0.6720864772796631,0.8416262269020081,fixed_class
0.20979684593917466,500,0.628340482711792,0.0009890111396089196,0.06999997711849365,0.9999988973140717,0.9999986886978149,0.09148932248353958,0.0016588590806350112,0.628451943397522,0.5260510444641113,fixed_class
