degenerate_target,n,t,target_entropy,target_kind,train_acc
0.0,12288,0.019999999552965164,nan,risk,0.941162109375
0.0,12288,0.1495652198791504,nan,risk,0.7810872793197632
0.0,12288,0.2791304588317871,nan,risk,0.7893880605697632
0.0,12288,0.40869566798210144,nan,risk,0.8895670771598816
0.0,12288,0.5382608771324158,nan,risk,0.7884928584098816
0.0,12288,0.6678261160850525,nan,risk,0.9222819209098816
0.0,12288,0.7973913550376892,nan,risk,0.808837890625
0.0,12288,0.9269565939903259,nan,risk,0.82275390625
0.0,12288,1.0565217733383179,nan,risk,0.8451334834098816
0.0,12288,1.1860870122909546,nan,risk,0.8697916865348816
0.0,12288,1.3156522512435913,nan,risk,0.9263509511947632
0.0,12288,1.445217490196228,nan,risk,0.9195963740348816
0.0,12288,1.5747824907302856,nan,risk,0.8963216543197632
0.0,12288,1.7043477296829224,nan,risk,0.896728515625
0.0,12288,1.833912968635559,nan,risk,0.89208984375
0.0,12288,1.9634782075881958,nan,risk,0.9722493886947632
0.0,12288,2.093043327331543,nan,risk,0.9703776240348816
0.0,12288,2.2226085662841797,nan,risk,0.859130859375
0.0,12288,2.3521738052368164,nan,risk,0.9043782949447632
0.0,12288,2.481739044189453,nan,risk,0.9517415761947632
0.0,12288,2.61130428314209,nan,risk,0.9287923574447632
0.0,12288,2.7408695220947266,nan,risk,0.9735514521598816
0.0,12288,2.8704347610473633,nan,risk,0.963623046875
0.0,12288,3.0,nan,risk,0.9379069209098816
