A_cond_smax_over_smin,A_sval_0,A_sval_1,A_sval_2,A_sval_3,A_sval_4,A_sval_5,A_sval_6,A_sval_7,A_sval_8,A_sval_9,A_sval_max,A_sval_min,beta_gap_mean,beta_top2_gap_mean,beta_x_mean,cost_gap_mean,delta_A_mean_min_interexpert,n,oracle_class_mi_norm,oracle_usage_0,oracle_usage_1,oracle_usage_2,oracle_usage_3,oracle_usage_4,oracle_usage_5,oracle_usage_6,oracle_usage_7,oracle_usage_8,oracle_usage_9,oracle_usage_entropy_norm,posterior_acc,risk_margin_mean,risk_margin_p05,risk_route_class_mi_norm,risk_route_usage_0,risk_route_usage_1,risk_route_usage_2,risk_route_usage_3,risk_route_usage_4,risk_route_usage_5,risk_route_usage_6,risk_route_usage_7,risk_route_usage_8,risk_route_usage_9,risk_route_usage_entropy_norm,route_excess_p95,route_excess_vs_sample_oracle,step,t,teacher_entropy_sample_norm,teacher_usage_0,teacher_usage_1,teacher_usage_2,teacher_usage_3,teacher_usage_4,teacher_usage_5,teacher_usage_6,teacher_usage_7,teacher_usage_8,teacher_usage_9,teacher_usage_entropy_norm,top2_cost_gap_mean
8018300.5,1.390691876411438,0.00027462001889944077,0.0001976204221136868,0.00016509696433786303,0.00013079353084322065,0.00011601665028138086,9.425770986126736e-05,5.380645234254189e-05,2.0967627278878354e-05,1.7343973013339564e-07,1.390691876411438,1.7343973013339564e-07,0.04116850346326828,0.015345985069870949,80.0,0.0005146063049323857,4.453956989891594e-06,1024,0.020747405319783786,0.0830078125,0.18359375,0.033203125,0.109375,0.060546875,0.232421875,0.0595703125,0.0634765625,0.1337890625,0.041015625,0.9228680729866028,0.2724609375,5.552519724005833e-05,2.2426247596740723e-06,0.06078570829937085,0.0,0.076171875,0.0,0.0,0.0,0.923828125,0.0,0.0,0.0,0.0,0.11696363985538483,0.0009114425047300756,0.0003464600013103336,1,0.019999999552965164,0.9998578429222107,0.1001659631729126,0.10096420347690582,0.09941216558218002,0.1002071350812912,0.09962934255599976,0.10136169195175171,0.09965988993644714,0.09905804693698883,0.10026826709508896,0.09927330911159515,0.9999892115592957,0.0001918248162837699
51765.03515625,0.45023712515830994,0.00012083847832400352,0.0001012806169455871,8.67337585077621e-05,7.384033960988745e-05,7.113638275768608e-05,4.422788697411306e-05,3.7312176573323086e-05,1.584732126502786e-05,8.69770701683592e-06,0.45023712515830994,8.69770701683592e-06,0.02063281461596489,0.007086596917361021,80.0,0.00025791017105802894,1.9606202386057703e-06,1024,0.027670091774938645,0.1513671875,0.1435546875,0.0458984375,0.16015625,0.103515625,0.1103515625,0.0908203125,0.0771484375,0.076171875,0.041015625,0.9640678763389587,0.265625,1.5181427443167195e-05,3.0580908969568554e-06,0.09230732455412681,0.5986328125,0.0,0.0,0.306640625,0.0947265625,0.0,0.0,0.0,0.0,0.0,0.3877745270729065,0.0005006485152989626,0.00019559846259653568,1,0.2186666578054428,0.9999619722366333,0.1004336029291153,0.10015998035669327,0.09969968348741531,0.10047222673892975,0.10009113699197769,0.1001444011926651,0.09963182359933853,0.09976216405630112,0.09984631836414337,0.09975868463516235,0.9999982118606567,8.858246292220429e-05
154388.40625,0.2950698733329773,0.00010675394878489897,8.408384019276127e-05,6.352045602397993e-05,5.714148937840946e-05,5.140589564689435e-05,3.5827382816933095e-05,2.2859221644466743e-05,1.661009810050018e-05,1.9112178506475175e-06,0.2950698733329773,1.9112178506475175e-06,0.017656195908784866,0.005885103717446327,80.0,0.00022070243721827865,1.1781230568885803e-06,1024,0.025067769864716854,0.1484375,0.115234375,0.080078125,0.21484375,0.091796875,0.0947265625,0.0966796875,0.0625,0.0751953125,0.0205078125,0.9470493197441101,0.2685546875,2.6130375772481784e-05,5.853269158251351e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0799999783372982e-10,0.00041599880205467343,0.00014738830213900656,1,0.41733333468437195,0.9999714493751526,0.10032712668180466,0.10000690072774887,0.10001219063997269,0.10058773308992386,0.10013319551944733,0.10007870942354202,0.09966529905796051,0.09979208558797836,0.09969937801361084,0.09969739615917206,0.999998152256012,7.356379501288757e-05
238115.859375,0.21382193267345428,0.00011266332148807123,9.957173460861668e-05,6.516018038382754e-05,5.411846359493211e-05,3.131610719719902e-05,2.6341831471654586e-05,1.6373625840060413e-05,1.3129510080034379e-05,8.97974359759246e-07,0.21382193267345428,8.97974359759246e-07,0.015705134719610214,0.005218640435487032,80.0,0.00019631418399512768,1.7190352536999853e-06,1024,0.03246416073159042,0.099609375,0.1181640625,0.103515625,0.216796875,0.1357421875,0.087890625,0.0771484375,0.056640625,0.060546875,0.0439453125,0.9556690454483032,0.2548828125,4.256149259163067e-05,1.9411183529882692e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0799999783372982e-10,0.0003660027286969125,0.00012745682033710182,1,0.6159999966621399,0.9999762177467346,0.1001114770770073,0.10005749017000198,0.10014084726572037,0.1005522683262825,0.10025937110185623,0.09999338537454605,0.09949765354394913,0.09992605447769165,0.09966005384922028,0.09980140626430511,0.9999982118606567,6.52330054435879e-05
31432.494140625,0.16307704150676727,0.00012579516624100506,7.927999104140326e-05,6.897519051562995e-05,5.4449370509246364e-05,3.160071719321422e-05,2.915163349825889e-05,1.3775845218333416e-05,8.372308911930304e-06,5.188167506275931e-06,0.16307704150676727,5.188167506275931e-06,0.014752250164747238,0.004846814554184675,80.0,0.00018440312123857439,1.4350749779623584e-06,1024,0.02562854019138081,0.123046875,0.1123046875,0.1513671875,0.2041015625,0.1123046875,0.078125,0.0615234375,0.0537109375,0.05859375,0.044921875,0.9521742463111877,0.251953125,2.927036621258594e-05,3.29604381477111e-06,0.044716417227091576,0.0,0.0,0.1103515625,0.8896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.15080863237380981,0.00032260845182463527,0.00011693601118167862,1,0.8146666288375854,0.9999783635139465,0.10026945173740387,0.10003379732370377,0.10035400092601776,0.10054807364940643,0.10018125176429749,0.09996137768030167,0.09933061897754669,0.09988534450531006,0.09957245737314224,0.09986363351345062,0.9999974370002747,6.058518192730844e-05
35641.6171875,0.12398961931467056,0.00014832598390057683,5.540170968743041e-05,5.3916010074317455e-05,4.821233233087696e-05,4.2878811655100435e-05,3.4673965274123475e-05,1.9599523511715233e-05,6.250535079743713e-06,3.478787675703643e-06,0.12398961931467056,3.478787675703643e-06,0.013758661225438118,0.004707004874944687,80.0,0.00017198326531797647,1.123175024986267e-06,1024,0.033264642710849265,0.0869140625,0.109375,0.18359375,0.2353515625,0.138671875,0.0810546875,0.0439453125,0.0322265625,0.0556640625,0.033203125,0.9144161343574524,0.2236328125,2.1924959582975134e-05,6.312970413091534e-07,0.1005684972404002,0.0,0.0,0.4189453125,0.5810546875,0.0,0.0,0.0,0.0,0.0,0.0,0.2952982187271118,0.0002853459445759654,9.88511455943808e-05,1,1.0133333206176758,0.9999815225601196,0.10015910863876343,0.10007570683956146,0.10048472881317139,0.10053566843271255,0.10023713856935501,0.09997063875198364,0.09921323508024216,0.09988181293010712,0.09954117238521576,0.09990076720714569,0.9999967813491821,5.88375587540213e-05
48560.390625,0.09540347754955292,0.0001328261714661494,6.424546882044524e-05,4.784254269907251e-05,4.004910806543194e-05,3.18652528221719e-05,2.363437306485139e-05,2.050248622254003e-05,8.57763097883435e-06,1.9646356577140978e-06,0.09540347754955292,1.9646356577140978e-06,0.012428768910467625,0.003964681178331375,80.0,0.00015535960847046226,1.8212944041806622e-06,1024,0.035132630754723365,0.068359375,0.109375,0.1845703125,0.259765625,0.14453125,0.0791015625,0.0302734375,0.0419921875,0.0517578125,0.0302734375,0.8971990346908569,0.212890625,2.4487762857461348e-05,1.3423617701846524e-06,0.06181100458468799,0.0,0.0,0.234375,0.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.23647722601890564,0.00024886723258532584,7.871372508816421e-05,1,1.2120000123977661,0.9999838471412659,0.10013724863529205,0.10003159195184708,0.10045775771141052,0.1005382388830185,0.10027109831571579,0.09996144473552704,0.09914875030517578,0.1000017523765564,0.09948433935642242,0.09996777772903442,0.9999966025352478,4.955851181875914e-05
25289.888671875,0.07452024519443512,0.000148240607813932,7.86089149187319e-05,4.460534546524286e-05,3.718056541401893e-05,2.06576005439274e-05,1.1358523806848098e-05,9.086756108445115e-06,7.686356184422038e-06,2.9466418709489517e-06,0.07452024519443512,2.9466418709489517e-06,0.011376725509762764,0.0035982616245746613,80.0,0.0001422090717824176,1.8184073269367218e-06,1024,0.03559317961416832,0.09375,0.115234375,0.1904296875,0.28125,0.1259765625,0.0625,0.02734375,0.0361328125,0.03515625,0.0322265625,0.8792597651481628,0.1865234375,2.1231284335954115e-05,1.652026526244299e-06,0.0761612035874441,0.0,0.0,0.3603515625,0.6396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.2838636636734009,0.00023195508401840925,7.030654523987323e-05,1,1.410666584968567,0.9999865293502808,0.1002219095826149,0.1000790148973465,0.10047470778226852,0.10052397102117538,0.10026077181100845,0.09991367161273956,0.09920234978199005,0.09998151659965515,0.0994342565536499,0.09990783035755157,0.9999964833259583,4.497827103477903e-05
31171.978515625,0.05788247287273407,0.00012553608394227922,7.473535515600815e-05,5.6633278290973976e-05,3.5622611903818324e-05,2.5311401259386912e-05,1.398049971612636e-05,8.642663487989921e-06,3.5698956253327196e-06,1.8568752011560719e-06,0.05788247287273407,1.8568752011560719e-06,0.010316234081983566,0.0031503010541200638,80.0,0.00012895293184556067,1.9078142940998077e-06,1024,0.03701106140078298,0.091796875,0.119140625,0.166015625,0.265625,0.15234375,0.0634765625,0.01953125,0.0556640625,0.033203125,0.033203125,0.8895949721336365,0.166015625,2.4441986170131713e-05,7.806578992131108e-07,0.07099775363990338,0.0,0.0,0.1474609375,0.697265625,0.1552734375,0.0,0.0,0.0,0.0,0.0,0.35738179087638855,0.0002057916426565498,6.632450094912201e-05,1,1.6093333959579468,0.999988317489624,0.10019245743751526,0.10006643086671829,0.10038428753614426,0.10046134889125824,0.10027994960546494,0.09992991387844086,0.09921906888484955,0.10012964904308319,0.09939852356910706,0.09993836283683777,0.9999967813491821,3.93787631765008e-05
23236.044921875,0.04549001529812813,0.00011222728062421083,5.9537345805438235e-05,4.095091571798548e-05,2.7992749892291613e-05,1.4371975339599885e-05,1.0629748430801556e-05,8.78184710018104e-06,5.0624721552594565e-06,1.9577348666643957e-06,0.04549001529812813,1.9577348666643957e-06,0.009331527166068554,0.002774757333099842,80.0,0.00011664408521028236,1.6867882095539244e-06,1024,0.037217189269157645,0.0771484375,0.08984375,0.201171875,0.279296875,0.146484375,0.0712890625,0.0283203125,0.0556640625,0.0283203125,0.0224609375,0.8731727600097656,0.15625,2.0111718185944483e-05,1.0604271665215492e-06,0.07063004404620322,0.0,0.0,0.044921875,0.8125,0.142578125,0.0,0.0,0.0,0.0,0.0,0.25441619753837585,0.00018257336341775954,5.832550232298672e-05,1,1.808000087738037,0.9999902248382568,0.10016259551048279,0.1000470370054245,0.10038596391677856,0.10044436156749725,0.10023999214172363,0.09994961321353912,0.09922966361045837,0.10016882419586182,0.09945478290319443,0.09991715848445892,0.9999970197677612,3.468446811893955e-05
