beta,step,test_beta_gap,test_cost_gap_mean,test_mean_expert_mse,test_oracle_best_mse,test_oracle_class_mi_norm,test_soft_oracle_mse,test_teacher_entropy_norm,variant
0.0,0,0.0,4.917180922348052e-05,0.3134343922138214,0.3133852183818817,0.0030910149630512546,0.3134343922138214,1.0000001192092896,uniform
0.0,150,0.0,2.8933332941960543e-05,0.31385537981987,0.31382647156715393,0.0022968227203167195,0.31385537981987,1.0000001192092896,uniform
0.0,300,0.0,2.0643532479880378e-05,0.3139062225818634,0.31388556957244873,0.0036779815490931437,0.3139062225818634,1.0000001192092896,uniform
0.0,450,0.0,1.633609826967586e-05,0.31396248936653137,0.3139461576938629,0.0026110101392696114,0.31396248936653137,1.0000001192092896,uniform
0.0,600,0.0,1.3597936231235508e-05,0.3139688968658447,0.31395527720451355,0.0019227199683486292,0.3139688968658447,1.0000001192092896,uniform
0.0,750,0.0,1.1757239917642437e-05,0.31394240260124207,0.3139306902885437,0.0015013099550124328,0.31394240260124207,1.0000001192092896,uniform
0.0,900,0.0,1.0382056643720716e-05,0.3140999972820282,0.3140896260738373,0.001053816320055425,0.3140999972820282,1.0000001192092896,uniform
0.0,1050,0.0,9.333253728982527e-06,0.31415680050849915,0.3141475021839142,0.0011525361081238144,0.31415680050849915,1.0000001192092896,uniform
0.0,1200,0.0,8.479267307848204e-06,0.3141525983810425,0.314144104719162,0.0019137840510227984,0.3141525983810425,1.0000001192092896,uniform
0.24561419056011574,0,1.2178710676380433e-05,4.958471981808543e-05,0.3134334981441498,0.31338393688201904,0.001476788897947342,0.3134334981441498,1.0000001192092896,fixed_class
0.24561419056011574,150,7.084323442541063e-06,2.8843300242442638e-05,0.31383031606674194,0.31380146741867065,0.00017632276113301027,0.31383028626441956,1.0000001192092896,fixed_class
0.24561419056011574,300,5.064045581093524e-06,2.0617888367269188e-05,0.31392359733581543,0.31390300393104553,0.0011356652541591784,0.31392359733581543,1.0000001192092896,fixed_class
0.24561419056011574,450,4.01305533159757e-06,1.6338855857611634e-05,0.3139162063598633,0.3138998746871948,0.0016098127626302226,0.31391623616218567,1.0000001192092896,fixed_class
0.24561419056011574,600,3.3868395803438034e-06,1.3789266631647479e-05,0.3139411211013794,0.3139273226261139,0.0024147869105241165,0.3139411211013794,1.0000001192092896,fixed_class
0.24561419056011574,750,2.9528623599617276e-06,1.2022362170682754e-05,0.31391051411628723,0.3138984739780426,0.004742572491979279,0.31391051411628723,1.0000001192092896,fixed_class
0.24561419056011574,900,2.628584979902371e-06,1.0702088729885872e-05,0.3139292895793915,0.3139185607433319,0.004334647979210243,0.3139292895793915,1.0000001192092896,fixed_class
0.24561419056011574,1050,2.3723380309093045e-06,9.65879917202983e-06,0.3140316307544708,0.3140219748020172,0.0044182172252517,0.3140316307544708,1.0000001192092896,fixed_class
0.24561419056011574,1200,2.1651562747138087e-06,8.8152737589553e-06,0.3140294849872589,0.31402069330215454,0.0074994093492243615,0.3140294849872589,1.0000001192092896,fixed_class
0.6140354764002893,0,2.987867446790915e-05,4.865951996180229e-05,0.31343430280685425,0.31338563561439514,0.003905635312017229,0.31343430280685425,1.0000001192092896,fixed_good
0.6140354764002893,150,1.7680506061878987e-05,2.879394742194563e-05,0.31376272439956665,0.31373390555381775,0.003814121126531077,0.31376272439956665,1.0000001192092896,fixed_good
0.6140354764002893,300,1.264181628357619e-05,2.0588086044881493e-05,0.3138602375984192,0.3138396143913269,0.0035426518806928697,0.3138602375984192,1.0000001192092896,fixed_good
0.6140354764002893,450,1.0058229236165062e-05,1.638053436181508e-05,0.3140257000923157,0.31400933861732483,0.003717757878890242,0.3140257000923157,1.0000001192092896,fixed_good
0.6140354764002893,600,8.462734513159376e-06,1.3782158930553123e-05,0.3139849901199341,0.3139711916446686,0.0021133816904009037,0.3139849901199341,1.0000001192092896,fixed_good
0.6140354764002893,750,7.357205504376907e-06,1.198172594740754e-05,0.3140539526939392,0.31404194235801697,0.002337024715546548,0.3140539526939392,1.0000001192092896,fixed_good
0.6140354764002893,900,6.5446079133835156e-06,1.0658353858161718e-05,0.3140623867511749,0.31405171751976013,0.0026402336888330298,0.3140623867511749,1.0000001192092896,fixed_good
0.6140354764002893,1050,5.9133417380508035e-06,9.630292879592162e-06,0.3140591084957123,0.31404945254325867,0.0035843700760001857,0.3140591084957123,1.0000001192092896,fixed_good
0.6140354764002893,1200,5.405589490692364e-06,8.80338302522432e-06,0.31413429975509644,0.3141254782676697,0.0024638757181935957,0.31413429975509644,1.0000001192092896,fixed_good
9.173047151237318,0,0.0004506430123001337,4.912686563329771e-05,0.31343257427215576,0.31338343024253845,0.0028183617558402356,0.31343257427215576,1.0000001192092896,hard_cold
9.173047151237318,150,0.00026848161360248923,2.926853449025657e-05,0.313777893781662,0.31374865770339966,0.0009237031293152334,0.313777893781662,1.0000001192092896,hard_cold
9.173047151237318,300,0.00019234076899010688,2.096803655149415e-05,0.31383830308914185,0.3138173222541809,0.0007808339070357834,0.31383827328681946,1.0000001192092896,hard_cold
9.173047151237318,450,0.00015312879986595362,1.6693338693585247e-05,0.3139708340167999,0.3139541447162628,0.0008756435675300763,0.3139708340167999,1.0000001192092896,hard_cold
9.173047151237318,600,0.0001289371430175379,1.4056086911296006e-05,0.313982754945755,0.3139687180519104,0.0016372021643852896,0.313982754945755,1.0000001192092896,hard_cold
9.173047151237318,750,0.00011232327233301476,1.224492552864831e-05,0.31400763988494873,0.31399545073509216,0.000743951250551967,0.31400763988494873,1.0000001192092896,hard_cold
