acc,beta,beta_theory,dataset,ece,feature_mode,mult,nll,t
0.7710000276565552,4.323940717989654,86.47881435979308,cifar10,0.06400182098150253,pca,0.05,0.49578678607940674,0.15
0.7724999785423279,4.778013776131114,86.47881435979308,cifar10,0.06545685231685638,pca,0.05525068551763788,0.49511605501174927,0.15
0.7724999785423279,5.279770730879233,86.47881435979308,cifar10,0.06539953500032425,pca,0.06105276500337841,0.4943782091140747,0.15
0.7724999785423279,5.834219045140751,86.47881435979308,cifar10,0.06533262878656387,pca,0.06746414238367815,0.4935669004917145,0.15
0.7739999890327454,6.446892034081704,86.47881435979308,cifar10,0.06675690412521362,pca,0.07454880229115493,0.4926753044128418,0.15
0.7754999995231628,7.123904086824261,86.47881435979308,cifar10,0.06816940009593964,pca,0.08237744862210328,0.49169600009918213,0.15
0.7764999866485596,7.872011687178851,86.47881435979308,cifar10,0.06907080858945847,pca,0.09102821015130401,0.4906212091445923,0.15
0.7770000100135803,8.698680842389775,86.47881435979308,cifar10,0.06945454329252243,pca,0.10058742024606301,0.48944249749183655,0.15
0.7774999737739563,9.612161592823576,86.47881435979308,cifar10,0.06982413679361343,pca,0.11115047846091416,0.4881509840488434,0.15
0.7799999713897705,10.62157034619625,86.47881435979308,cifar10,0.07217679917812347,pca,0.12282280261157902,0.48673710227012634,0.15
0.7804999947547913,11.736980858023145,86.47881435979308,cifar10,0.07250449061393738,pca,0.13572088082974532,0.4851909875869751,0.15
0.781000018119812,12.969524766263447,86.47881435979308,cifar10,0.07486199587583542,pca,0.14997343409802133,0.4835023581981659,0.15
0.784500002861023,14.331502683480757,86.47881435979308,cifar10,0.07608198374509811,pca,0.16572270086699936,0.4816606044769287,0.15
0.7870000004768372,15.836506955203571,86.47881435979308,cifar10,0.07831067591905594,pca,0.1831258565747231,0.47965508699417114,0.15
0.7879999876022339,17.499557309596753,86.47881435979308,cifar10,0.07900327444076538,pca,0.20235658223516173,0.47747501730918884,0.15
0.7910000085830688,19.337250752208227,86.47881435979308,cifar10,0.08164011687040329,pca,0.22360679774997896,0.4751100242137909,0.15
0.7929999828338623,21.36792720171927,86.47881435979308,cifar10,0.08435239642858505,pca,0.24708857724180294,0.47255033254623413,0.15
0.7944999933242798,23.61185251971943,86.47881435979308,cifar10,0.08770683407783508,pca,0.27303626552374866,0.4697872996330261,0.15
0.7994999885559082,26.09142076111727,86.47881435979308,cifar10,0.08870629221200943,pca,0.30170881682725814,0.4668138921260834,0.15
0.8054999709129333,28.831377663617168,86.47881435979308,cifar10,0.09397971630096436,pca,0.33339237912842906,0.46362534165382385,0.15
0.8084999918937683,31.859067606655227,86.47881435979308,cifar10,0.09612850099802017,pca,0.36840314986403866,0.4602201282978058,0.15
0.8125,35.204706504409444,86.47881435979308,cifar10,0.09910847991704941,pca,0.4070905315369044,0.4566009044647217,0.15
0.8184999823570251,38.90168335631734,86.47881435979308,cifar10,0.10388120263814926,pca,0.44984061870307107,0.45277613401412964,0.15
0.8205000162124634,42.98689346453234,86.47881435979308,cifar10,0.10444265604019165,pca,0.4970800511404606,0.44876134395599365,0.15
0.8209999799728394,47.501106643781604,86.47881435979308,cifar10,0.10330182313919067,pca,0.549280271653059,0.4445810616016388,0.15
0.8270000219345093,52.489374098307124,86.47881435979308,cifar10,0.10739104449748993,pca,0.6069622310029172,0.4402710795402527,0.15
0.8320000171661377,58.00147802646429,86.47881435979308,cifar10,0.11016734689474106,pca,0.6707015869245212,0.4358815550804138,0.15
0.8385000228881836,64.09242843996725,86.47881435979308,cifar10,0.11408287286758423,pca,0.7411344491069478,0.4314788281917572,0.15
0.8410000205039978,70.82301215596684,86.47881435979308,cifar10,0.11355782300233841,pca,0.8189637274779156,0.4271499514579773,0.15
0.8420000076293945,78.26039944082338,86.47881435979308,cifar10,0.11110924929380417,pca,0.9049661471446963,0.4230051040649414,0.15
0.8429999947547913,86.47881435979308,86.47881435979308,cifar10,0.1081196516752243,pca,1.0,0.41918253898620605,0.15
