A_cond_smax_over_smin,A_sval_0,A_sval_1,A_sval_2,A_sval_3,A_sval_max,A_sval_min,beta_gap_mean,beta_top2_gap_mean,beta_x_mean,cost_gap_mean,delta_A_mean_min_interexpert,n,oracle_class_mi_norm,oracle_usage_0,oracle_usage_1,oracle_usage_2,oracle_usage_3,oracle_usage_entropy_norm,posterior_acc,risk_margin_mean,risk_margin_p05,risk_route_class_mi_norm,risk_route_usage_0,risk_route_usage_1,risk_route_usage_2,risk_route_usage_3,risk_route_usage_entropy_norm,route_excess_p95,route_excess_vs_sample_oracle,step,t,teacher_entropy_sample_norm,teacher_usage_0,teacher_usage_1,teacher_usage_2,teacher_usage_3,teacher_usage_entropy_norm,top2_cost_gap_mean
9814.533203125,0.5301042795181274,0.0005743934889324009,0.0004079802893102169,5.401217640610412e-05,0.5301042795181274,5.401217640610412e-05,0.07421247661113739,0.05900443345308304,80.0,0.0009276559576392174,0.0001142688124673441,2048,0.009824493007386923,0.10546875,0.62744140625,0.25439453125,0.0126953125,0.6732739210128784,0.794921875,0.0005613493849523365,0.0002836048661265522,0.0,0.0,1.0,0.0,0.0,5.979470391048736e-11,0.0014550205087289214,0.000271758995950222,1,0.019999999552965164,0.9986782073974609,0.24998071789741516,0.2634667158126831,0.25112080574035645,0.23543177545070648,0.9994288682937622,0.0007375554414466023
2808.8525390625,0.23583035171031952,0.00042370674782432616,0.0001184739448945038,8.395967597607523e-05,0.23583035171031952,8.395967597607523e-05,0.040301017463207245,0.02952849119901657,80.0,0.0005037627415731549,9.884033352136612e-05,2048,0.018846864959305834,0.1640625,0.568359375,0.177734375,0.08984375,0.8231966495513916,0.7783203125,0.00024666072567924857,0.00010313223901903257,0.0,0.0,1.0,0.0,0.0,5.979470391048736e-11,0.000904381275177002,0.00019092859292868525,1,0.2186666578054428,0.9995809197425842,0.2511764168739319,0.2563375234603882,0.24743174016475677,0.24505433440208435,0.999895453453064,0.00036910612834617496
1970.018798828125,0.1857396960258484,0.00021431790082715452,0.00013000820763409138,9.428321209270507e-05,0.1857396960258484,9.428321209270507e-05,0.03137080371379852,0.023173438385128975,80.0,0.00039213502896018326,4.9439073336543515e-05,2048,0.016076426190298473,0.16552734375,0.51416015625,0.208984375,0.111328125,0.8737757205963135,0.73681640625,0.00019594051991589367,0.00012948177754878998,0.0,0.0,1.0,0.0,0.0,5.979470391048736e-11,0.0008220842573791742,0.0001833050773711875,1,0.41733333468437195,0.999742329120636,0.25011780858039856,0.2542167901992798,0.2488381564617157,0.24682721495628357,0.9999579787254333,0.0002896679798141122
1804.21484375,0.1622568517923355,0.0001799790479708463,0.0001301480660913512,8.993210940388963e-05,0.1622568517923355,8.993210940388963e-05,0.027080491185188293,0.01998686045408249,80.0,0.0003385061281733215,4.046019239467569e-05,2048,0.020826323598663897,0.1328125,0.46337890625,0.27734375,0.12646484375,0.8957372307777405,0.6015625,0.0001348514633718878,7.823882333468646e-05,0.0,0.0,1.0,0.0,0.0,5.979470391048736e-11,0.0006891755037941039,0.00018048450874630362,1,0.6159999966621399,0.999808669090271,0.24920585751533508,0.25318047404289246,0.25013279914855957,0.2474808394908905,0.999975323677063,0.000249835749855265
2151.1298828125,0.14448289573192596,0.00022775375691708177,0.00012480199802666903,6.716604548273608e-05,0.14448289573192596,6.716604548273608e-05,0.026433657854795456,0.019480427727103233,80.0,0.0003304207348264754,4.070652721566148e-05,2048,0.019726281108531692,0.08837890625,0.4482421875,0.3486328125,0.11474609375,0.8583266139030457,0.41259765625,7.44686258258298e-05,3.0117855203570798e-05,0.0,0.0,1.0,0.0,0.0,5.979470391048736e-11,0.0007067184778861701,0.000175061883055605,1,0.8146666288375854,0.9998239278793335,0.24762177467346191,0.2531220018863678,0.251644492149353,0.24761174619197845,0.9999656677246094,0.00024350534658879042
1835.0985107421875,0.12568460404872894,0.00027609910466708243,0.0001157396036433056,6.848929479019716e-05,0.12568460404872894,6.848929479019716e-05,0.024834763258695602,0.01772083342075348,80.0,0.0003104345523752272,3.277305586379953e-05,2048,0.0248671751721233,0.0732421875,0.40576171875,0.40380859375,0.1171875,0.8474921584129333,0.27197265625,2.7578182198340073e-05,3.416929303057259e-06,0.1696105091378072,0.0,0.80859375,0.19140625,0.0,0.35220199823379517,0.0006296727224253118,0.000169553910382092,1,1.0133333206176758,0.9998433589935303,0.24742373824119568,0.25275588035583496,0.25239646434783936,0.2474239468574524,0.9999616742134094,0.0002215104177594185
1435.00439453125,0.10578346252441406,0.0002662692277226597,0.00010909044794971123,7.371647370746359e-05,0.10578346252441406,7.371647370746359e-05,0.023292221128940582,0.0160263329744339,80.0,0.00029115276993252337,3.1948464311426505e-05,2048,0.034666076731286244,0.04833984375,0.42822265625,0.41357421875,0.10986328125,0.8060435652732849,0.17431640625,1.644389340071939e-05,1.9715166672540363e-06,0.15667066859304202,0.0,0.68798828125,0.31201171875,0.0,0.44774100184440613,0.0005649185623042285,0.000153692250023596,1,1.2120000123977661,0.9998595118522644,0.2472853809595108,0.25280964374542236,0.25246527791023254,0.24743971228599548,0.9999597668647766,0.0002003291592700407
1156.6573486328125,0.08438114821910858,0.00030375286587513983,0.00011504725989652798,7.295259274542332e-05,0.08438114821910858,7.295259274542332e-05,0.02112625166773796,0.013446723110973835,80.0,0.0002640781458467245,2.4748593205004e-05,2048,0.06181135722281177,0.02734375,0.4228515625,0.4462890625,0.103515625,0.7626215219497681,0.14208984375,2.8891170586575754e-05,1.4491472029476427e-05,0.10395018724021525,0.0,0.01806640625,0.98193359375,0.0,0.065220907330513,0.00048028473975136876,0.00011977879330515862,1,1.410666584968567,0.9998834133148193,0.24659380316734314,0.2527185082435608,0.25288867950439453,0.24779900908470154,0.9999535083770752,0.0001680840359767899
1378.318115234375,0.06607375293970108,0.00027578510344028473,0.0001231765781994909,4.7937955969246104e-05,0.06607375293970108,4.7937955969246104e-05,0.018936654552817345,0.011925853788852692,80.0,0.00023670817608945072,4.1437149775447324e-05,2048,0.08160402863017749,0.02197265625,0.5078125,0.349609375,0.12060546875,0.7577991485595703,0.12451171875,4.779994014825206e-06,5.271285772323608e-07,0.1435528158536115,0.0,0.95263671875,0.04736328125,0.0,0.13754448294639587,0.00036003856803290546,8.250680548371747e-05,1,1.6093333959579468,0.9999054074287415,0.24667233228683472,0.2531074285507202,0.2519887387752533,0.24823148548603058,0.9999599456787109,0.00014907316653989255
1407.2005615234375,0.05153493955731392,0.00025410501984879375,0.00011314933362882584,3.66223139280919e-05,0.05153493955731392,3.66223139280919e-05,0.01665591634809971,0.009968729689717293,80.0,0.0002081989514408633,3.125267176073976e-05,2048,0.08569329036745127,0.01025390625,0.41552734375,0.4404296875,0.1337890625,0.7517542243003845,0.10986328125,6.433954695239663e-05,4.570568125927821e-05,0.2031081031703866,0.0,0.0009765625,0.9990234375,0.0,0.005586909595876932,0.00033747940324246883,8.855166379362345e-05,1,1.808000087738037,0.9999234080314636,0.2463979721069336,0.25228333473205566,0.2523902952671051,0.24892839789390564,0.9999638199806213,0.00012460912694223225
