beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,spec_delta,spec_t_star,spec_window_frac,step,t_max_batch,t_mean,t_min_batch,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.019813021644949913,0.019337553530931473,0.019577840343117714,0.0,0.2,0.8121519088745117,0.85,1,2.8808250427246094,0.9150936007499695,0.044805388897657394,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.020376551896333694,0.02011575922369957,0.02015245333313942,0.0,0.2,0.8121519088745117,0.85,500,2.9438107013702393,0.8973504900932312,0.05018145591020584,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.01834242418408394,0.01809227094054222,0.018118644133210182,0.0,0.2,0.8121519088745117,0.85,1000,2.9581785202026367,0.9207753539085388,0.24377651512622833,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.018671264871954918,0.018426192924380302,0.01844707876443863,0.0,0.2,0.8121519088745117,0.85,1500,2.896695852279663,0.9202027916908264,0.12276497483253479,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.019897807389497757,0.01962483674287796,0.019673747941851616,0.0,0.2,0.8121519088745117,0.85,2000,2.99710750579834,0.9317049980163574,0.062476996332407,1.0,0.25,0.25,0.25,0.25
0.8984375,0.8984375,0.8984375,0.01902802474796772,0.01877293363213539,0.018803780898451805,0.01123046875,0.2,0.8121519088745117,0.85,2500,2.827733039855957,0.9122633934020996,0.14878219366073608,1.0,0.25000011920928955,0.2500001788139343,0.2499990165233612,0.2500007450580597
3.4375,3.4375,3.4375,0.019604729488492012,0.019331496208906174,0.019379980862140656,0.04296875,0.2,0.8121519088745117,0.85,3000,2.964064359664917,0.8752988576889038,0.061017099767923355,1.0,0.24999655783176422,0.2500038146972656,0.25000083446502686,0.2499988079071045
7.3828125,7.3828125,7.3828125,0.02054114267230034,0.02028210088610649,0.020316701382398605,0.09228515625,0.2,0.8121519088745117,0.85,3500,2.9094433784484863,0.8893625736236572,0.06658992171287537,1.0,0.2500043511390686,0.24999582767486572,0.24999797344207764,0.2500019073486328
12.5,12.5,12.5,0.01987571269273758,0.019618621096014977,0.019651984795928,0.15625,0.2,0.8121519088745117,0.85,4000,2.996236801147461,0.8881057500839233,0.14984029531478882,1.0,0.2500079274177551,0.24998658895492554,0.25000160932540894,0.2500039041042328
18.5546875,18.5546875,18.5546875,0.018291328102350235,0.018038306385278702,0.018067311495542526,0.23193359375,0.2,0.8121519088745117,0.85,4500,2.919370651245117,0.9210410118103027,0.04300731420516968,1.0,0.2499980628490448,0.24998979270458221,0.25001513957977295,0.24999700486660004
25.3125,25.3125,25.3125,0.018869267776608467,0.01786956377327442,0.018634304404258728,0.31640625,0.2,0.8121519088745117,0.85,5000,2.9925177097320557,0.9937978386878967,0.04788793623447418,0.9999948143959045,0.24890246987342834,0.2510553002357483,0.24925000965595245,0.2507922053337097
32.5390625,32.5390625,32.5390625,0.018858356401324272,0.01856810227036476,0.01863327994942665,0.40673828125,0.2,0.8121519088745117,0.85,5500,2.9945435523986816,0.9042462110519409,0.05597228184342384,1.0,0.25002366304397583,0.24990716576576233,0.2500959634780884,0.24997320771217346
40.0,40.0,40.0,0.019448058679699898,0.019197512418031693,0.019224412739276886,0.5,0.2,0.8121519088745117,0.85,6000,2.7878146171569824,0.8641981482505798,0.10743652284145355,1.0,0.2500123977661133,0.24997016787528992,0.24997985363006592,0.2500375509262085
47.4609375,47.4609375,47.4609375,0.01909562014043331,0.018843993544578552,0.018871542066335678,0.59326171875,0.2,0.8121519088745117,0.85,6500,2.975010633468628,0.9247084856033325,0.19154320657253265,1.0,0.25004690885543823,0.24995262920856476,0.2500055134296417,0.24999496340751648
54.6875,54.6875,54.6875,0.01890069618821144,0.018361631780862808,0.018655279651284218,0.68359375,0.2,0.8121519088745117,0.85,7000,2.9974234104156494,0.9216939210891724,0.04451783746480942,0.9999997615814209,0.2499198466539383,0.25001877546310425,0.24977487325668335,0.2502865195274353
61.4453125,61.4453125,61.4453125,0.018078744411468506,0.017808247357606888,0.017854468896985054,0.76806640625,0.2,0.8121519088745117,0.85,7500,2.963568925857544,0.9171512126922607,0.023739922791719437,0.9999999403953552,0.24987947940826416,0.2501497268676758,0.250014990568161,0.24995578825473785
67.5,67.5,67.5,0.018580902367830276,0.018335333094000816,0.01835763454437256,0.84375,0.2,0.8121519088745117,0.85,8000,2.959136962890625,0.9307587146759033,0.05378015339374542,1.0,0.25000977516174316,0.24998268485069275,0.25002115964889526,0.24998638033866882
72.6171875,72.6171875,72.6171875,0.018883755430579185,0.01863539032638073,0.018660329282283783,0.90771484375,0.2,0.8121519088745117,0.85,8500,2.9704294204711914,0.9096682071685791,0.09213370084762573,1.0,0.24996992945671082,0.24997200071811676,0.25004440546035767,0.25001367926597595
76.5625,76.5625,76.5625,0.019312245771288872,0.01866760477423668,0.018858574330806732,0.95703125,0.2,0.8121519088745117,0.85,9000,2.9860165119171143,0.9366905689239502,0.11755086481571198,0.9999951720237732,0.2508530914783478,0.24885772168636322,0.24934419989585876,0.25094497203826904
79.1015625,79.1015625,79.1015625,0.019072510302066803,0.018822267651557922,0.018848733976483345,0.98876953125,0.2,0.8121519088745117,0.85,9500,2.9667437076568604,0.9362474679946899,0.09037140011787415,1.0,0.24991247057914734,0.2500331997871399,0.25000903010368347,0.2500452995300293
80.0,80.0,80.0,0.01922701671719551,0.018524155020713806,0.018791990354657173,1.0,0.2,0.8121519088745117,0.85,10000,2.933392286300659,0.9113914966583252,0.02558439038693905,0.9999783039093018,0.24749264121055603,0.24881766736507416,0.252347469329834,0.251342236995697
