alpha,beta_lambda_proxy,beta_z_theory,in_search_window,lambda_between_top,lambda_class_proxy,routeability_proxy,sigma2,snr_proxy,t,v_z
0.9801986737449383,2.887134441687949,15.050379588698208,0.0,12.778247833251953,0.1918313371880658,1.6671090568761564,0.03921055998866407,5.774268883375898,0.019999999552965164,2.126192220695203
0.9439127735747188,2.7845100346515013,15.652860969227813,0.0,12.778247833251953,0.17789144362334847,1.5506992266149806,0.10902867588248166,5.5690200693030025,0.057721517980098724,2.0443547069707746
0.9089701349975862,2.6817175812939333,16.256328906293675,0.0,12.778247833251953,0.16496452530901368,1.4383218371641964,0.17377329368246996,5.363435162587867,0.09544304013252258,1.9684641092375492
0.8753210419479464,2.5790492533523093,16.859068135110533,0.0,12.778247833251953,0.15297697551747869,1.33029901024342,0.2338130735231616,5.158098506704618,0.13316455483436584,1.898088301414306
0.8429176019945618,2.476795763887188,17.45937195440603,0.0,12.778247833251953,0.14186053028454704,1.2269034512019035,0.28948991624773757,4.953591527774376,0.1708860695362091,1.8328265234033525
0.8117137024046488,2.375243158806683,18.05556106255405,0.0,12.778247833251953,0.1315518886717272,1.12835601269159,0.34112086532853725,4.750486317613367,0.20860758423805237,1.7723071517487052
0.7816649258412918,2.274669589482599,18.646002504711607,0.0,12.778247833251953,0.1219923460220398,1.034824348263387,0.38899994370952784,4.549339178965199,0.24632911384105682,1.7161855465756806
0.7527285229760499,2.1753424503984413,19.229126476947823,0.0,12.778247833251953,0.11312747113116531,0.9464229553010989,0.4333997706982944,4.350684900796883,0.2840506434440613,1.6641421563461087
0.7248633257209097,2.0775155669512984,19.803442835932582,0.0,12.778247833251953,0.10490678737849192,0.8632141861849947,0.47457315902482233,4.155031133902597,0.32177215814590454,1.6158806458610941
0.6980296679841579,1.981426697246915,20.367555765252266,1.0,12.778247833251953,0.09728347967149281,0.7852103513125633,0.5127545826139263,3.96285339449383,0.3594936728477478,1.5711261758071666
0.6721893632865008,1.887295580223087,20.92017523437298,1.0,12.778247833251953,0.0902141382220431,0.7123769214259197,0.5481614598844886,3.774591160446174,0.39721518754959106,1.5296238985332336
0.647305638770881,1.7953222107635045,21.460127125001573,1.0,12.778247833251953,0.08365850772020406,0.6446363680921512,0.5809954100154217,3.590644421527009,0.4349367022514343,1.4911374855146695
0.6233430828717086,1.7056855565424216,21.986360764159095,1.0,12.778247833251953,0.07757925810636804,0.581872643559486,0.6114434010359941,3.411371113084843,0.4726582169532776,1.4554477816157991
0.6002675949213204,1.6185426819856137,22.497954067179663,1.0,12.778247833251953,0.0719417720008046,0.5239360826818366,0.6396788144873735,3.2370853639712274,0.5103797316551208,1.422351557143681
0.5780463366219544,1.5340282718154945,22.994116334854,1.0,12.778247833251953,0.06671394758015757,0.4706485477458464,0.6658624327179382,3.068056543630989,0.5481012463569641,1.3916603505869487
0.5566476853141782,1.4522545355557248,23.474188814058213,1.0,12.778247833251953,0.0618660157784025,0.4218086472084347,0.6901433544343677,2.9045090711114496,0.5858227610588074,1.3631993954498591
0.5360411889752713,1.3733114649892286,23.93764318628427,1.0,12.778247833251953,0.05737037077134248,0.3771968759741721,0.7126598437219775,2.746622929978457,0.6235442757606506,1.3368066250705617
0.5161975228835175,1.297267409140437,24.384078192067825,1.0,12.778247833251953,0.053201412779361905,0.33658054616358835,0.7335401173689204,2.594534818280874,0.6612657904624939,1.312331749756677
0.4970884478867386,1.224169925997846,24.81321463074509,1.0,12.778247833251953,0.04933540229330159,0.2997184015435143,0.7529030749775532,2.448339851995692,0.6989873051643372,1.289635400983073
0.4786867416837285,1.1540467584450864,25.2248896310137,1.0,12.778247833251953,0.045750319439503105,0.2663647841355222,0.7708590033362154,2.308093516890173,0.7367088794708252,1.2685883057603702
0.4609662753093437,1.086907544330601,25.61904661155539,1.0,12.778247833251953,0.042425760833752296,0.2362736019845555,0.7875100930274304,2.173815088661202,0.7744303941726685,1.249070681091095
0.44390180146865893,1.022744565293364,25.99573088487369,1.0,12.778247833251953,0.03934278939194878,0.20920128916742237,0.8029511906528793,2.045489130586728,0.8121519088745117,1.2309713522469203
0.4274690360263033,0.9615347071782312,26.355078148201894,1.0,12.778247833251953,0.036483849593283525,0.18490979862166534,0.817270223238743,1.9230694143564624,0.849873423576355,1.214187255300673
0.4116445938193796,0.90324091784208,26.69730592509977,1.0,12.778247833251953,0.03383266163170749,0.1631688311328406,0.830548728379278,1.80648183568416,0.8875949382781982,1.1986228157169538
0.39640595537847384,0.8478138001619946,27.02270421331413,1.0,12.778247833251953,0.03137412871300554,0.14375764794902446,0.8428623185404794,1.6956276003239892,0.9253164529800415,1.184189404117207
0.3817314348806171,0.7951931950610801,27.33162619124325,1.0,12.778247833251953,0.029094251088354603,0.12646644349428976,0.8542811116239851,1.59038639012216,0.9630379676818848,1.1708048315929496
0.3676001492885943,0.7453097272601934,27.62447914322774,0.0,12.778247833251953,0.026980046334843175,0.11109731790973276,0.8648701302430032,1.4906194545203868,1.000759482383728,1.1583928816932982
0.35399198863268205,0.6980862912749756,27.90171573564597,0.0,12.778247833251953,0.025019475429001382,0.09746489401320999,0.8746896719838791,1.3961725825499511,1.0384809970855713,1.1468828764217625
0.3408875873925249,0.6534394598734675,28.163825748223182,0.0,12.778247833251953,0.023201374192378395,0.08539662554394578,0.8837956527617037,1.306878919746935,1.0762025117874146,1.1362092737709413
0.32826829693842347,0.6112808016410901,28.411328338948,0.0,12.778247833251953,0.02151538971879427,0.07473284369099475,0.8922399252251471,1.2225616032821802,1.1139240264892578,1.1263112945033418
0.3161161589928163,0.5715180983586343,28.644764897160652,0.0,12.778247833251953,0.019951921421260635,0.06532658735029391,0.9000705740236284,1.1430361967172686,1.151645541191101,1.1171325760530828
