beta_crit_class,beta_crit_free,beta_crit_trans,class_basis_rank,lambda_class,lambda_free,lambda_trans,residual_energy_var,residual_mse,t
25.62598093064057,21.701153469300642,137.92687475681973,3,0.019511448219418526,0.023040249943733215,0.003625109326094389,0.0020968695171177387,0.2029920220375061,0.4
27.041124278654415,24.17664198194899,313.47057897471495,3,0.01849035546183586,0.020681118592619896,0.0015950460219755769,0.001223553903400898,0.11227381974458694,0.7
30.643743668576207,26.913509960493297,625.6106554177276,3,0.016316544264554977,0.018578030169010162,0.000799219124019146,0.0008964819135144353,0.07193756848573685,1.0
36.37480970621126,33.352348038711696,1208.0931878706801,3,0.013745776377618313,0.014991448260843754,0.0004138753574807197,0.0005186073249205947,0.04793563857674599,1.3
47.526308153058054,41.96691195984216,2238.3431735843787,3,0.01052048895508051,0.01191414799541235,0.0002233795094070956,0.0002494729415047914,0.032019346952438354,1.6
67.60008849304577,59.500781675825195,4218.691507860351,3,0.0073964400216937065,0.008403250947594643,0.0001185201617772691,9.15694545255974e-05,0.020819179713726044,1.9
108.56870962767853,95.85839685330309,7704.991299976028,3,0.0046053784899413586,0.005216027144342661,6.489299994427711e-05,2.6098174203070812e-05,0.012682578526437283,2.2
184.0615338463668,164.81549871515844,14153.095299744327,3,0.002716482849791646,0.00303369527682662,3.5327961086295545e-05,6.365620720316656e-06,0.007497770711779594,2.5
335.29651491944236,305.94099161822146,24978.595825104152,3,0.0014912174083292484,0.001634302083402872,2.0017138012917712e-05,1.4377176285051974e-06,0.00430786469951272,2.8
603.4736172181958,563.6524346952173,46223.96950755324,3,0.000828536634799093,0.000887071480974555,1.0816898793564178e-05,3.15085458169051e-07,0.0024266799446195364,3.1
