bayes_risk_excess_mean,beta,beta_times_lambda_class,linear_router_acc_vs_risk,linear_router_class_mi_norm,linear_router_excess_mean,linear_router_excess_p95,linear_router_mean_conf,linear_router_usage_entropy,posterior_acc,rho,risk_label_class_mi_norm,risk_label_usage_entropy,risk_margin_mean,risk_margin_train_mean,t
0.0,12.812990465320285,0.25,1.0,0.00022204460492503128,0.0,0.0,0.8350293636322021,5.979470391048736e-11,1.0,0.5,0.00022204460492503128,5.979470391048736e-11,7.798274026526997e-09,7.331371065788517e-09,0.4
0.0,25.62598093064057,0.5,0.9996666312217712,0.9975129923193726,5.077570790490427e-07,0.0,0.9935271739959717,0.7410728931427002,1.0,1.0,1.0,0.7408914566040039,0.0013495184248313308,0.001342698698863387,0.4
0.0,51.25196186128114,1.0,1.0,1.0,0.0,0.0,0.9968703389167786,0.9995330572128296,1.0,2.0,1.0,0.9995330572128296,0.005549016408622265,0.005620562005788088,0.4
0.0,13.520562139327208,0.25,0.9906666278839111,0.9286226611823946,3.9736429424674924e-11,0.0,0.975094735622406,0.4996306300163269,0.9996666312217712,0.5,0.9926636842606437,0.4995664358139038,1.8104910903815608e-09,1.8353263353532157e-09,0.7
0.0,27.041124278654415,0.5,0.9953333139419556,0.9716475453406935,2.5470182663411833e-05,0.0,0.9802677035331726,0.7591121196746826,0.9996666312217712,1.0,0.995635897728043,0.7585015296936035,0.0017220048466697335,0.0016926948446780443,0.7
0.0,54.08224855730883,1.0,0.9893333315849304,0.9250603496693329,0.001910946681164205,0.0,0.9669910669326782,0.4999839663505554,0.9996666312217712,2.0,0.9806912287624115,0.5093798637390137,0.0018054262036457658,0.0018423740984871984,0.7
0.0,15.321871834288103,0.25,0.9783332943916321,0.806152831927893,1.2417634628891783e-11,0.0,0.9164103269577026,0.4100683331489563,0.9856666326522827,0.5,0.897053546193636,0.3952887952327728,1.7682710851119054e-09,1.935909210715181e-09,1.0
0.0,30.643743668576207,0.5,0.9176666736602783,0.7642074512891084,0.0007454808219335973,0.0003107141819782555,0.9075583219528198,0.7607951760292053,0.9856666326522827,1.0,0.6833249181358149,0.7942942976951599,0.0006874955142848194,0.0007284719031304121,1.0
0.0,61.28748733715241,1.0,0.9513333439826965,0.8132965393467311,0.0018354358617216349,0.0,0.9341993927955627,0.8048657178878784,0.9856666326522827,2.0,0.8373899624180345,0.8302976489067078,0.009705932810902596,0.00984086561948061,1.0
0.0,18.18740485310563,0.25,0.9419999718666077,0.5971455357460088,9.189049521296511e-11,0.0,0.8739578127861023,0.4197724163532257,0.9146666526794434,0.5,0.6126186308527638,0.4133731424808502,9.685754420729609e-10,9.089708430387589e-10,1.3
