beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1
0.0,0.0,0.0,0.014063377864658833,0.013913962058722973,0.014063377864658833,0.0,1,1.0,0.5,0.5
0.0,0.0,0.0,0.015309719368815422,0.015302818268537521,0.015309719368815422,0.0,500,1.0,0.5,0.5
0.0,0.0,0.0,0.014152873307466507,0.01414969377219677,0.014152873307466507,0.0,1000,1.0,0.5,0.5
2.240000009536743,2.240000009536743,2.240000009536743,0.013940021395683289,0.013937810435891151,0.013940021395683289,0.028000000000000004,1500,1.0,0.49999964237213135,0.5000003576278687
8.319999694824219,8.319999694824219,8.319999694824219,0.013887939974665642,0.01388662587851286,0.013887940905988216,0.10400000000000002,2000,1.0,0.5000004768371582,0.4999994933605194
17.280000686645508,17.280000686645508,17.280000686645508,0.014279388822615147,0.014278562739491463,0.014279389753937721,0.216,2500,1.0,0.5000005960464478,0.49999940395355225
28.15999984741211,28.15999984741211,28.15999984741211,0.013019435107707977,0.0130188949406147,0.013019436039030552,0.3520000000000001,3000,1.0,0.49999985098838806,0.5000001788139343
40.0,40.0,40.0,0.013871124014258385,0.013870758935809135,0.013871124014258385,0.5,3500,1.0,0.5000008344650269,0.49999919533729553
51.84000015258789,51.84000015258789,51.84000015258789,0.01469014585018158,0.014689873903989792,0.01469014585018158,0.648,4000,1.0,0.4999995231628418,0.5000004768371582
62.71999740600586,62.71999740600586,62.71999740600586,0.014404558576643467,0.014404373243451118,0.014404557645320892,0.7839999999999999,4500,1.0,0.49999961256980896,0.5000003576278687
71.68000030517578,71.68000030517578,71.68000030517578,0.01447598822414875,0.014475853182375431,0.01447598822414875,0.8960000000000001,5000,1.0,0.5000009536743164,0.4999990165233612
77.76000213623047,77.76000213623047,77.76000213623047,0.014032036066055298,0.014031940139830112,0.014032036066055298,0.972,5500,1.0,0.5,0.5
80.0,80.0,80.0,0.01384232472628355,0.013842263258993626,0.013842325657606125,1.0,6000,1.0,0.5000003576278687,0.4999997019767761
80.0,80.0,80.0,0.014937028288841248,0.014936976134777069,0.014937028288841248,1.0,6500,1.0,0.49999985098838806,0.5000001192092896
