A_cond_smax_over_smin,A_sval_0,A_sval_1,A_sval_max,A_sval_min,beta_gap_mean,beta_top2_gap_mean,beta_x_mean,cost_gap_mean,delta_A_mean_min_interexpert,n,oracle_class_mi_norm,oracle_usage_0,oracle_usage_1,oracle_usage_entropy_norm,posterior_acc,risk_margin_mean,risk_margin_p05,risk_route_class_mi_norm,risk_route_usage_0,risk_route_usage_1,risk_route_usage_entropy_norm,route_excess_p95,route_excess_vs_sample_oracle,step,t,teacher_entropy_sample_norm,teacher_usage_0,teacher_usage_1,teacher_usage_entropy_norm,top2_cost_gap_mean
770.2418212890625,0.47069960832595825,0.000611106283031404,0.47069960832595825,0.000611106283031404,0.0895034521818161,0.1790069341659546,80.0,0.0011187931522727013,0.00224745343439281,2048,0.06490919770208778,0.98486328125,0.01513671875,0.11318518966436386,0.796875,0.002223819959908724,0.0012591630220413208,0.0,1.0,0.0,3.986313709680722e-11,0.0,5.443347617983818e-06,1,0.019999999552965164,0.9929485321044922,0.5443293452262878,0.45567068457603455,0.9943225383758545,0.00223758677020669
295.4687805175781,0.23121298849582672,0.0007825293578207493,0.23121298849582672,0.0007825293578207493,0.027229292318224907,0.054458584636449814,80.0,0.00034036615397781134,0.0005633015534840524,2048,0.17507974055505907,0.7548828125,0.2451171875,0.803446888923645,0.77490234375,0.0005619988078251481,0.00013371463865041733,0.7230260310458477,0.89404296875,0.10595703125,0.48759937286376953,0.00044671096839010715,6.445354665629566e-05,1,0.2186666578054428,0.9990867376327515,0.5103641748428345,0.4896358251571655,0.9996901154518127,0.0006807323079556227
221.3212432861328,0.19733229279518127,0.0008916102815419436,0.19733229279518127,0.0008916102815419436,0.023373393341898918,0.046746786683797836,80.0,0.0002921674167737365,0.0003971804108005017,2048,0.22048381422629837,0.30615234375,0.69384765625,0.8886820077896118,0.7373046875,0.00035020592622458935,3.103092240053229e-05,0.4518782661978006,0.28466796875,0.71533203125,0.8617334961891174,0.0007509441929869354,0.00011790679855039343,1,0.41733333468437195,0.9994178414344788,0.4940650463104248,0.5059349536895752,0.999898374080658,0.000584334833547473
206.05120849609375,0.17613323032855988,0.0008548031910322607,0.17613323032855988,0.0008548031910322607,0.025788411498069763,0.051576822996139526,80.0,0.00032235513208433986,0.000504244293551892,2048,0.22086809528285348,0.1865234375,0.8134765625,0.6941418647766113,0.58154296875,0.0004210412735119462,1.1510402146086562e-05,0.30321854706824325,0.01025390625,0.98974609375,0.08247171342372894,0.0004700336139649153,6.510566890938208e-05,1,0.6159999966621399,0.9993113279342651,0.4897146224975586,0.5102853775024414,0.9996947050094604,0.0006447102641686797
217.0764923095703,0.1603466421365738,0.000738664239179343,0.1603466421365738,0.000738664239179343,0.029014339670538902,0.0580286830663681,80.0,0.0003626792458817363,0.0006617963663302362,2048,0.18029684122046577,0.0947265625,0.9052734375,0.4520527124404907,0.419921875,0.0005509741604328156,0.0003069296362809837,0.0,0.0,1.0,3.986313709680722e-11,0.00019379005243536085,2.6238612917950377e-05,1,0.8146666288375854,0.999187707901001,0.4865506887435913,0.5134493112564087,0.9994780421257019,0.0007253585499711335
240.07196044921875,0.13952083885669708,0.0005811625742353499,0.13952083885669708,0.0005811625742353499,0.024239089339971542,0.048478178679943085,80.0,0.00030298862839117646,0.0005624521872960031,2048,0.17703761309668362,0.09033203125,0.90966796875,0.43757712841033936,0.27197265625,0.0004765481862705201,0.00034481845796108246,0.0,0.0,1.0,3.986313709680722e-11,0.00010775384726002812,1.7262464098166674e-05,1,1.0133333206176758,0.9994238615036011,0.4885760545730591,0.5114239454269409,0.9996233582496643,0.0006059772567823529
288.9532470703125,0.12451504170894623,0.00043091760016977787,0.12451504170894623,0.00043091760016977787,0.01770617812871933,0.03541236370801926,80.0,0.0002213272382505238,0.0003827458422165364,2048,0.14170641629787536,0.12939453125,0.87060546875,0.5557753443717957,0.19189453125,0.0003163802030030638,0.0002233298437204212,0.0,0.0,1.0,3.986313709680722e-11,0.0002196199493482709,2.641838727868162e-05,1,1.2120000123977661,0.9996842741966248,0.4922056794166565,0.5077943801879883,0.9998246431350708,0.0004426545347087085
347.35748291015625,0.10835028439760208,0.00031192731694318354,0.10835028439760208,0.00031192731694318354,0.01494985818862915,0.0298997201025486,80.0,0.0001868732215370983,0.00033143628388643265,2048,0.13061937876604732,0.11572265625,0.88427734375,0.5169394612312317,0.14208984375,0.00027413154020905495,0.00023031645105220377,0.0,0.0,1.0,3.986313709680722e-11,0.0001481413492001593,1.9042467101826333e-05,1,1.410666584968567,0.999779224395752,0.49328798055648804,0.506712019443512,0.9998700022697449,0.0003737465012818575
429.15350341796875,0.09375711530447006,0.0002184698823839426,0.09375711530447006,0.0002184698823839426,0.010020286776125431,0.02004057541489601,80.0,0.00012525358761195093,0.00018953262770082802,2048,0.10122033808444289,0.1962890625,0.8037109375,0.7144438624382019,0.12451171875,0.0001308932842221111,0.00011276696022832766,0.0,0.0,1.0,3.986313709680722e-11,0.00020989126642234623,2.9001526854699478e-05,1,1.6093333959579468,0.9998940825462341,0.49615031480789185,0.5038497447967529,0.9999572038650513,0.0002505072043277323
517.16943359375,0.08434513956308365,0.00016308994963765144,0.08434513956308365,0.00016308994963765144,0.006616371683776379,0.013232745230197906,80.0,8.270464604720473e-05,8.350145071744919e-05,2048,0.08417553571313643,0.31640625,0.68359375,0.9004305601119995,0.10791015625,2.3868960852269083e-05,2.0221714294166304e-05,0.0,0.0,1.0,3.986313709680722e-11,0.00024793396005406976,4.285031900508329e-05,1,1.808000087738037,0.9999514222145081,0.49840590357780457,0.501594066619873,0.9999926090240479,0.00016540932119823992
749.7059326171875,0.07506851106882095,0.00010013060818891972,0.07506851106882095,0.00010013060818891972,0.005030477419495583,0.010060954838991165,80.0,6.288096483331174e-05,4.176236689090729e-05,2048,0.03678397492497426,0.5478515625,0.4521484375,0.99338299036026,0.10693359375,8.887842705007643e-05,6.281640526140109e-05,0.0,1.0,0.0,3.986313709680722e-11,0.00022502562205772847,4.9391437642043456e-05,1,2.006666660308838,0.9999698400497437,0.5005395412445068,0.49946045875549316,0.9999991655349731,0.00012576192966662347
1070.4315185546875,0.06653755158185959,6.215956091182306e-05,0.06653755158185959,6.215956091182306e-05,0.007913347333669662,0.015826696529984474,80.0,9.891684749163687e-05,0.00019545583927538246,2048,0.04179038090137413,0.95703125,0.04296875,0.25574201345443726,0.1044921875,0.00023679558944422752,0.00022236499353311956,0.0,1.0,0.0,3.986313709680722e-11,0.0,1.8492860363039654e-06,1,2.2053332328796387,0.9999396800994873,0.5038825273513794,0.4961174726486206,0.999956488609314,0.00019783370953518897
1451.1607666015625,0.06482528895139694,4.46713347628247e-05,0.06482528895139694,4.46713347628247e-05,0.009908528067171574,0.019817054271697998,80.0,0.00012385660375002772,0.00024802490952424705,2048,0.031322449614111514,0.9912109375,0.0087890625,0.07265400886535645,0.099609375,0.00029632914811372757,0.00027606781804934144,0.0,1.0,0.0,3.986313709680722e-11,0.0,2.597444108687341e-07,1,2.4040000438690186,0.999915361404419,0.5049436092376709,0.4950563907623291,0.9999294877052307,0.000247713178396225
1611.360107421875,0.05973859503865242,3.707339783431962e-05,0.05973859503865242,3.707339783431962e-05,0.017185399308800697,0.034370798617601395,80.0,0.0002148174971807748,0.0004304058966226876,2048,0.0,1.0,0.0,3.986313709680722e-11,0.10009765625,0.0004593978519551456,0.0004498460912145674,0.0,1.0,0.0,3.986313709680722e-11,0.0,0.0,1,2.6026666164398193,0.9997764825820923,0.5085917115211487,0.4914082884788513,0.9997870922088623,0.0004296349943615496
2232.22265625,0.05953364074230194,2.6670117222238332e-05,0.05953364074230194,2.6670117222238332e-05,0.009700173512101173,0.019400345161557198,80.0,0.00012125216744607314,0.00024281888909172267,2048,0.1763968052593823,0.998046875,0.001953125,0.020393135026097298,0.09912109375,0.00025687858578749,0.00025067199021577835,0.0,1.0,0.0,3.986313709680722e-11,0.0,2.301476342836395e-08,1,2.801333427429199,0.9999229907989502,0.5048488974571228,0.4951510429382324,0.9999322295188904,0.00024250432034023106
2352.867431640625,0.06057823821902275,2.5746558094397187e-05,0.06057823821902275,2.5746558094397187e-05,0.005985487252473831,0.011970973573625088,80.0,7.481859211111441e-05,0.00014732555428054184,2048,0.026380589013659386,0.95703125,0.04296875,0.25574201345443726,0.0986328125,0.00015650439308956265,0.00015180064656306058,0.0,1.0,0.0,3.986313709680722e-11,0.0,1.3131339073879644e-06,1,3.0,0.9999657869338989,0.5029401779174805,0.4970598518848419,0.9999750852584839,0.0001496371696703136
