baseline_loss,step
1.4049252271652222,1
0.0234222449362278,500
0.022168699651956558,1000
0.017235223203897476,1500
0.016299091279506683,2000
0.016269082203507423,2500
0.0187343992292881,3000
0.015664469450712204,3500
0.01358665432780981,4000
0.014455295167863369,4500
0.01605830155313015,5000
0.014369976706802845,5500
0.015295572578907013,6000
0.016558896750211716,6500
0.014085373841226101,7000
0.013078360818326473,7500
0.013381113298237324,8000
0.01306564174592495,8500
0.014140313491225243,9000
0.014189046807587147,9500
0.015160847455263138,10000
0.01318436674773693,10500
0.014012976549565792,11000
0.014418280683457851,11500
0.015405355021357536,12000
