A_cond_smax_over_smin,A_rank_eps1e-8,A_sval_0,A_sval_1,A_sval_max,A_sval_min,bayes_decision_entropy_t,beta_x,delta_A_mean_min_interexpert,n,oracle_usage_0,oracle_usage_1,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,v_t
15258827.0,2.0,0.3658056855201721,2.3973381502173652e-08,0.3658056855201721,2.3973381502173652e-08,0.5396679043769836,80.0,7.450580707946131e-10,12288,0.7361653447151184,0.2638346254825592,0.80712890625,9.104041964747012e-10,0.0,0.8763834834098816,0.1236165389418602,1.4901161193847656e-08,2.3091313305911854e-09,0.019999999552965164,1.0,0.5,0.5,0.2439037263393402
12244060.0,2.0,0.179153174161911,1.4631844180712505e-08,0.179153174161911,1.4631844180712505e-08,0.5327292680740356,80.0,1.1175871339474952e-09,12288,0.7325032353401184,0.2674967348575592,0.795654296875,1.16006049211137e-09,0.0,0.8788248896598816,0.1211751326918602,7.450580596923828e-09,1.3785287356071763e-09,0.1495652198791504,1.0,0.5,0.5,0.4165037274360657
31373982.0,1.0,0.140900120139122,4.490986249550133e-09,0.140900120139122,4.490986249550133e-09,3.986313709680722e-11,80.0,1.4901161415892261e-09,12288,0.7193196415901184,0.2806803286075592,0.7764486074447632,1.4232834910643533e-09,0.0,1.0,0.0,5.587935447692871e-09,1.1244007946942247e-09,0.2791304588317871,1.0,0.5,0.5,0.5497028827667236
13003504.0,1.0,0.12130583822727203,9.3287040314749e-09,0.12130583822727203,9.3287040314749e-09,0.5575631856918335,80.0,1.6763807009212428e-09,12288,0.70654296875,0.29345703125,0.7344564199447632,1.7419855558031827e-09,0.0,0.8699544072151184,0.1300455778837204,5.587935447692871e-09,1.064108801074326e-09,0.40869566798210144,1.0,0.5,0.5,0.6524956822395325
13109376.0,1.0,0.10967131704092026,8.36586888652846e-09,0.10967131704092026,8.36586888652846e-09,0.6368190050125122,80.0,9.313225746154785e-10,12288,0.7088215947151184,0.2911783754825592,0.6636556386947632,1.1587720782912925e-09,0.0,0.8389485478401184,0.1610514372587204,5.587935447692871e-09,9.781236931516446e-10,0.5382608771324158,1.0,0.5,0.5,0.7318229675292969
37615888.0,1.0,0.10011693835258484,2.6615598613943803e-09,0.10011693835258484,2.6615598613943803e-09,0.20902056992053986,80.0,1.8626451769865326e-10,12288,0.7132975459098816,0.2867024838924408,0.553955078125,6.381621620032973e-11,0.0,0.967041015625,0.032958984375,3.725290298461914e-09,8.442574417344417e-10,0.6678261160850525,1.0,0.5,0.5,0.7930418252944946
21073518.0,1.0,0.09273745864629745,4.4006633892479385e-09,0.09273745864629745,4.4006633892479385e-09,0.5009754300117493,80.0,6.519257911286047e-10,12288,0.718017578125,0.281982421875,0.4358724057674408,2.3214852262753993e-10,0.0,0.8896484375,0.1103515625,3.725290298461914e-09,7.928520062705502e-10,0.7973913550376892,1.0,0.5,0.5,0.8402858972549438
28097340.0,1.0,0.0849505141377449,3.0234361680925304e-09,0.0849505141377449,3.0234361680925304e-09,3.986313709680722e-11,80.0,3.7252903539730653e-10,12288,0.6976725459098816,0.3023274838924408,0.3251953125,5.719206219723105e-10,0.0,1.0,0.0,3.725290298461914e-09,7.795127876519814e-10,0.9269565939903259,1.0,0.5,0.5,0.8767450451850891
28757538.0,1.0,0.07674515247344971,2.6686968190858806e-09,0.07674515247344971,2.6686968190858806e-09,0.31429263949394226,80.0,3.7252903539730653e-10,12288,0.7083333134651184,0.2916666567325592,0.2508138120174408,1.0686562745831907e-10,0.0,0.9432780146598816,0.0567220039665699,3.725290298461914e-09,7.103722055035178e-10,1.0565217733383179,1.0,0.5,0.5,0.9048812985420227
34547456.0,1.0,0.06740693002939224,1.9511401383454086e-09,0.06740693002939224,1.9511401383454086e-09,0.16814449429512024,80.0,1.8626451769865326e-10,12288,0.6818034052848816,0.3181966245174408,0.1920572966337204,3.2514435588382185e-11,0.0,0.97509765625,0.02490234375,3.725290298461914e-09,6.853895229141926e-10,1.1860870122909546,1.0,0.5,0.5,0.9265948534011841
