A_cond_smax_over_smin,A_rank_eps1e-8,A_sval_0,A_sval_1,A_sval_2,A_sval_3,A_sval_4,A_sval_5,A_sval_6,A_sval_7,A_sval_8,A_sval_9,A_sval_max,A_sval_min,bayes_decision_entropy_t,beta_x,delta_A_mean_min_interexpert,n,oracle_usage_0,oracle_usage_1,oracle_usage_2,oracle_usage_3,oracle_usage_4,oracle_usage_5,oracle_usage_6,oracle_usage_7,oracle_usage_8,oracle_usage_9,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,risk_usage_2,risk_usage_3,risk_usage_4,risk_usage_5,risk_usage_6,risk_usage_7,risk_usage_8,risk_usage_9,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,teacher_usage_2,teacher_usage_3,teacher_usage_4,teacher_usage_5,teacher_usage_6,teacher_usage_7,teacher_usage_8,teacher_usage_9,v_t
95762.46875,10.0,1.4651557207107544,0.0015637739561498165,0.0007193349883891642,0.0005000464152544737,0.00026229501236230135,0.00020600446441676468,0.00018553674453869462,0.00012186380627099425,3.926655335817486e-05,1.529989458504133e-05,1.4651557207107544,1.529989458504133e-05,0.30659934878349304,80.0,2.475231849530246e-05,12288,0.163330078125,0.0990397110581398,0.20361328125,0.1026204451918602,0.1324869841337204,0.0340169258415699,0.090087890625,0.0701497420668602,0.0677897110581398,0.036865234375,0.271728515625,0.00018854215159080923,2.9510261811083183e-05,0.397216796875,0.0,0.0,0.0,0.5966796875,0.0,0.006103515625,0.0,0.0,0.0,0.00345595576800406,0.0012622729409486055,0.019999999552965164,0.9969603419303894,0.10462666302919388,0.10233695805072784,0.10391880571842194,0.10280361771583557,0.10506046563386917,0.09450776129961014,0.10260707885026932,0.09611979126930237,0.09604126214981079,0.09197758138179779,0.2611272931098938
162234.390625,10.0,0.542629063129425,0.00017299647151958197,0.0001329750521108508,8.828029967844486e-05,5.9285579482093453e-05,4.938466736348346e-05,1.9834920749417506e-05,1.2244959179952275e-05,6.672815743513638e-06,3.3447226996941026e-06,0.542629063129425,3.3447226996941026e-06,0.24858367443084717,80.0,2.628937409099308e-06,12288,0.0585123710334301,0.0619303397834301,0.1103515625,0.12158203125,0.0718587264418602,0.1377766877412796,0.06103515625,0.0840657576918602,0.1871744841337204,0.105712890625,0.272216796875,3.333300628582947e-05,1.993030309677124e-06,0.0,0.0,0.0,0.2593587338924408,0.0,0.0,0.0,0.0,0.7406412959098816,0.0,0.0014175372198224068,0.0005237208097241819,0.1495652198791504,0.9997628927230835,0.09930888563394547,0.1003185287117958,0.09945695847272873,0.10063111037015915,0.09991347044706345,0.09986495971679688,0.09988367557525635,0.09956742078065872,0.1008218452334404,0.10023307800292969,0.429795503616333
100785.2890625,10.0,0.37400826811790466,0.00012118829181417823,7.932055450510234e-05,7.14671696186997e-05,2.8125605240347795e-05,2.309597039129585e-05,1.826539846661035e-05,1.5059006727824453e-05,8.98213420441607e-06,3.7109412005520426e-06,0.37400826811790466,3.7109412005520426e-06,0.27200135588645935,80.0,3.0042604066693457e-06,12288,0.05419921875,0.0509440116584301,0.1097005233168602,0.1531575471162796,0.0402018241584301,0.167724609375,0.0362141914665699,0.0756022110581398,0.1923828125,0.119873046875,0.2709147334098816,1.592503031133674e-05,1.9185245037078857e-06,0.0,0.0,0.0,0.6807454228401184,0.0,0.0,0.0,0.0,0.3192545473575592,0.0,0.0009575065923854709,0.0003556333831511438,0.2791304588317871,0.9998819231987,0.09956679493188858,0.1000327467918396,0.09946078807115555,0.1007552221417427,0.09939105808734894,0.10029760748147964,0.09976121783256531,0.0996452048420906,0.10069230198860168,0.10039706528186798,0.5599604845046997
859752.125,10.0,0.2863408327102661,7.430680125253275e-05,6.153888534754515e-05,4.925535176880658e-05,3.910556552000344e-05,3.2705447665648535e-05,2.6553983843768947e-05,1.4590630598831922e-05,2.9906075269536814e-06,3.3305045121778676e-07,0.2863408327102661,3.3305045121778676e-07,0.3078303933143616,80.0,2.2849069409858203e-06,12288,0.0496419258415699,0.0426432304084301,0.1127115860581398,0.1449381560087204,0.02937825582921505,0.1597493439912796,0.04248046875,0.0796712264418602,0.21728515625,0.1215006485581398,0.2708333432674408,1.3803568435832858e-05,4.234724428897607e-07,0.0,0.0,0.0,0.3329264223575592,0.0,0.0,0.0,0.0,0.65185546875,0.015218098647892475,0.0008153394446708262,0.00029240583535283804,0.40869566798210144,0.9999200701713562,0.0997256264090538,0.09988325089216232,0.09949445724487305,0.1006016805768013,0.0993480384349823,0.10026019811630249,0.09986751526594162,0.09972269088029861,0.10068341344594955,0.10041309148073196,0.6604117155075073
112890.125,10.0,0.22923791408538818,6.417620170395821e-05,6.123691127868369e-05,4.397585871629417e-05,3.112513877567835e-05,2.853564546967391e-05,1.9436474758549593e-05,1.322037678619381e-05,6.333365035970928e-06,2.0306285932747414e-06,0.22923791408538818,2.0306285932747414e-06,0.05807233229279518,80.0,2.196989953517914e-06,12288,0.0419921875,0.0367838554084301,0.1070149764418602,0.1513671875,0.02522786520421505,0.1617838591337204,0.0375162772834301,0.079345703125,0.234375,0.1245931014418602,0.265625,2.364736792515032e-05,5.162880370335188e-06,0.0,0.0,0.0,0.016357421875,0.0,0.0,0.0,0.0,0.974853515625,0.0087890625,0.0007364294724538922,0.0002446794824209064,0.5382608771324158,0.9999383687973022,0.09978672862052917,0.09976857900619507,0.09957333654165268,0.10055261105298996,0.09931997209787369,0.10020674020051956,0.09990543872117996,0.09973789006471634,0.10073017328977585,0.1004185676574707,0.7379319667816162
263327.0625,10.0,0.1876102089881897,6.11407813266851e-05,5.270620749797672e-05,4.806125070899725e-05,3.3655982406344265e-05,2.419363590888679e-05,1.4978382750996388e-05,1.1063851161452476e-05,2.5299332264694385e-06,7.124608032427204e-07,0.1876102089881897,7.124608032427204e-07,0.04247327521443367,80.0,2.3294239781534998e-06,12288,0.03564453125,0.031494140625,0.110595703125,0.1629231721162796,0.018798828125,0.168701171875,0.0332845039665699,0.065673828125,0.241943359375,0.1309407502412796,0.2586263120174408,1.9066696040681563e-05,4.952773451805115e-06,0.0,0.0,0.0,0.01993815042078495,0.0,0.0,0.0,0.0,0.9800618290901184,0.0,0.000644564745016396,0.0002180492738261819,0.6678261160850525,0.9999484419822693,0.09985971450805664,0.099713034927845,0.09959188848733902,0.10059867054224014,0.09928381443023682,0.10024324804544449,0.09983053058385849,0.09969241172075272,0.1007380411028862,0.10044866055250168,0.7977562546730042
136308.546875,10.0,0.15573973953723907,8.014390914468095e-05,4.542753958958201e-05,3.8870763091836125e-05,3.5301531170262024e-05,2.0504532585619017e-05,1.529137989564333e-05,1.0486204701010138e-05,4.3260542952339165e-06,1.1425529464759165e-06,0.15573973953723907,1.1425529464759165e-06,0.08039665967226028,80.0,2.580694854259491e-06,12288,0.033203125,0.02815755270421505,0.1005859375,0.1769205778837204,0.01603190042078495,0.1724446564912796,0.03125,0.062744140625,0.2511393129825592,0.1275227814912796,0.2530924677848816,1.4113232282397803e-05,1.8794555671775015e-06,0.0,0.0,0.0,0.0452473945915699,0.0,0.0,0.0,0.0,0.9546712040901184,8.138021075865254e-05,0.0005970992497168481,0.0001955917978193611,0.7973913550376892,0.9999547004699707,0.09989306330680847,0.09965560585260391,0.09960140287876129,0.10063359141349792,0.09927728772163391,0.10028374940156937,0.0997646227478981,0.09967828541994095,0.10076916962862015,0.10044325888156891,0.8439241051673889
107465.515625,10.0,0.13056138157844543,8.38994310470298e-05,5.435030834632926e-05,3.7928908568574116e-05,3.301203469163738e-05,2.4156212020898238e-05,1.4055369319976307e-05,1.1772003745136317e-05,9.762006811797619e-06,1.2149141639383743e-06,0.13056138157844543,1.2149141639383743e-06,0.14274390041828156,80.0,1.4333985518533154e-06,12288,0.027587890625,0.0234375,0.0952962264418602,0.1946614533662796,0.014973958022892475,0.1788737028837204,0.02766927145421505,0.052001953125,0.2505696713924408,0.1349283903837204,0.2447916716337204,1.8777955119730905e-05,1.7617829826122033e-06,0.0,0.0,0.0,0.1016438826918602,0.0,0.0,0.0,0.0,0.8983561396598816,0.0,0.0005487773451022804,0.0001822436897782609,0.9269565939903259,0.999958872795105,0.09992453455924988,0.09964444488286972,0.09959033876657486,0.10070416331291199,0.09923944622278214,0.10034412145614624,0.09968870878219604,0.09962248057126999,0.10078813880681992,0.10045367479324341,0.8795527815818787
64544.84765625,10.0,0.10956095159053802,9.72169145825319e-05,4.848462776863016e-05,3.977863525506109e-05,2.5438388547627255e-05,1.680525929259602e-05,1.3716098692384548e-05,9.733275874168612e-06,7.4753402259375434e-06,1.6974391883195494e-06,0.10956095159053802,1.6974391883195494e-06,0.127264142036438,80.0,2.6298687316739233e-06,12288,0.02400716207921505,0.02018229104578495,0.083984375,0.2084147185087204,0.009521484375,0.18017578125,0.02490234375,0.04736328125,0.2683919370174408,0.133056640625,0.2303059995174408,1.76254688994959e-05,1.3845973398929345e-06,0.0,0.0,0.0,0.0859375,0.0,0.0,0.0,0.0,0.9140625,0.0,0.0005208604270592332,0.00016679758846294135,1.0565217733383179,0.9999613761901855,0.09994229674339294,0.09963259100914001,0.09960097074508667,0.10072284936904907,0.09923520684242249,0.10033669322729111,0.09961533546447754,0.09957993030548096,0.10084953159093857,0.10048461705446243,0.9070480465888977
44155.078125,10.0,0.0920267105102539,9.101875184569508e-05,5.577177944360301e-05,3.8125363062135875e-05,3.1979998311726376e-05,2.2137064661365002e-05,1.1238839761062991e-05,8.586835974710993e-06,4.095817985216854e-06,2.0841705463681137e-06,0.0920267105102539,2.0841705463681137e-06,0.05941933020949364,80.0,1.7780811276679742e-06,12288,0.015380859375,0.016845703125,0.0741373673081398,0.2062174528837204,0.0071614584885537624,0.189697265625,0.02392578125,0.0404459647834301,0.2898763120174408,0.1363118439912796,0.2146809995174408,2.9363311114138924e-05,2.666376531124115e-06,0.0,0.0,0.0,0.03059895895421505,0.0,0.0,0.0,0.0,0.9694010615348816,0.0,0.0004796060675289482,0.00015027029439806938,1.1860870122909546,0.9999645948410034,0.0999479666352272,0.09958642721176147,0.09961876273155212,0.10071585327386856,0.09923741966485977,0.10033240169286728,0.09957814961671829,0.09960085153579712,0.10090028494596481,0.10048186779022217,0.9282670021057129
39117.80078125,10.0,0.07784689217805862,0.00012018807319691405,6.209969433257356e-05,5.0041620852425694e-05,3.638509224401787e-05,1.7607228073757142e-05,1.4232253306545317e-05,8.760692253417801e-06,4.455952421267284e-06,1.99006308321259e-06,0.07784689217805862,1.99006308321259e-06,0.16009975969791412,80.0,2.2882595658302307e-06,12288,0.01652018167078495,0.00927734375,0.0660807266831398,0.2090657502412796,0.0056966147385537624,0.197021484375,0.02067057229578495,0.0386555977165699,0.28759765625,0.1494140625,0.2002767026424408,3.370536433067173e-05,2.711569322855212e-06,0.0,0.0,0.0,0.112548828125,0.0,0.0,0.0,0.0,0.885009765625,0.00244140625,0.0004882889916189015,0.00015253436868079007,1.3156522512435913,0.9999646544456482,0.09996087104082108,0.09961926192045212,0.09959223866462708,0.10070809721946716,0.09922749549150467,0.10034555941820145,0.09954946488142014,0.09955188632011414,0.10089468210935593,0.10055050998926163,0.9446418881416321
15436.083984375,10.0,0.06545176357030869,0.0001267342158826068,6.642656080657616e-05,5.590641012531705e-05,3.841292345896363e-05,1.7309541362919845e-05,1.4005429875396658e-05,6.653747732343618e-06,4.423687187227188e-06,4.240179350745166e-06,0.06545176357030869,4.240179350745166e-06,0.06429997831583023,80.0,3.264192628193996e-06,12288,0.013753254897892475,0.009521484375,0.0528971366584301,0.204345703125,0.0032552082557231188,0.2059733122587204,0.01676432229578495,0.0333658866584301,0.3085123598575592,0.151611328125,0.18505859375,4.784294287674129e-05,7.043010555207729e-06,0.0,0.0,0.0,0.01749674417078495,0.0,0.0,0.0,0.0,0.9715983271598816,0.010904948227107525,0.00046134775038808584,0.00013800813758280128,1.445217490196228,0.9999675154685974,0.09994933754205704,0.09958484023809433,0.09957325458526611,0.10068661719560623,0.09923192113637924,0.10036256909370422,0.09956654906272888,0.0995430052280426,0.10093847662210464,0.10056343674659729,0.9572789072990417
