degenerate_target,n,t,target_entropy,target_kind,train_acc
0.0,12288,0.019999999552965164,nan,risk,0.8763021230697632
0.0,12288,0.1495652198791504,nan,risk,0.870361328125
0.0,12288,0.2791304588317871,nan,risk,0.7662760615348816
0.0,12288,0.40869566798210144,nan,risk,0.7886556386947632
0.0,12288,0.5382608771324158,nan,risk,0.9771322011947632
0.0,12288,0.6678261160850525,nan,risk,0.982177734375
0.0,12288,0.7973913550376892,nan,risk,0.9566243886947632
0.0,12288,0.9269565939903259,nan,risk,0.898681640625
0.0,12288,1.0565217733383179,nan,risk,0.950439453125
0.0,12288,1.1860870122909546,nan,risk,0.9778646230697632
0.0,12288,1.3156522512435913,nan,risk,0.9383952021598816
0.0,12288,1.445217490196228,nan,risk,0.9808756709098816
0.0,12288,1.5747824907302856,nan,risk,0.9889323115348816
0.0,12288,1.7043477296829224,nan,risk,0.9860026240348816
0.0,12288,1.833912968635559,nan,risk,0.9978841543197632
0.0,12288,1.9634782075881958,nan,risk,0.9952799677848816
0.0,12288,2.093043327331543,nan,risk,1.0
0.0,12288,2.2226085662841797,nan,risk,0.994384765625
1.0,12288,2.3521738052368164,nan,risk,1.0
1.0,12288,2.481739044189453,nan,risk,1.0
0.0,12288,2.61130428314209,nan,risk,0.9986165761947632
0.0,12288,2.7408695220947266,nan,risk,0.9580892324447632
1.0,12288,2.8704347610473633,nan,risk,1.0
1.0,12288,3.0,nan,risk,1.0
