beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.013856025412678719,0.013672108761966228,0.013856025412678719,0.0,1,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.01243006531149149,0.01242639310657978,0.01243006531149149,0.0,500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.013718949630856514,0.013717545196413994,0.013718949630856514,0.0,1000,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.011942921206355095,0.011942431330680847,0.011942921206355095,0.0,1500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.0128483222797513,0.012848077341914177,0.0128483222797513,0.0,2000,1.0,0.25,0.25,0.25,0.25
0.8984375,0.8984375,0.8984375,0.012838800437748432,0.012838665395975113,0.012838817201554775,0.01123046875,2500,1.0,0.25,0.25,0.25,0.25
3.4375,3.4375,3.4375,0.011707339435815811,0.011707257479429245,0.011707339435815811,0.04296875,3000,1.0,0.25,0.25,0.25,0.25
7.3828125,7.3828125,7.3828125,0.013724539428949356,0.013724478892982006,0.013724537566304207,0.09228515625,3500,1.0,0.25,0.25,0.25,0.25
12.5,12.5,12.5,0.013681693002581596,0.013681657612323761,0.013681693933904171,0.15625,4000,1.0,0.25,0.25,0.25,0.25
18.5546875,18.5546875,18.5546875,0.01306992955505848,0.013069909065961838,0.01306992955505848,0.23193359375,4500,1.0,0.25,0.25,0.25,0.2499999850988388
25.3125,25.3125,25.3125,0.013335307128727436,0.013335293158888817,0.013335306197404861,0.31640625,5000,1.0,0.2499999701976776,0.25,0.25,0.25
32.5390625,32.5390625,32.5390625,0.013280496001243591,0.013280488550662994,0.013280496932566166,0.40673828125,5500,1.0,0.25,0.25,0.25,0.25
40.0,40.0,40.0,0.014533201232552528,0.014533193781971931,0.014533201232552528,0.5,6000,1.0,0.25,0.25,0.25,0.25
47.4609375,47.4609375,47.4609375,0.01543496921658516,0.015434963628649712,0.01543496921658516,0.59326171875,6500,1.0,0.2499999850988388,0.25,0.25,0.25
54.6875,54.6875,54.6875,0.01331564225256443,0.013315639458596706,0.01331564225256443,0.68359375,7000,1.0,0.25,0.25,0.25,0.25
