baseline_loss,step
1.3528869152069092,1
0.019618745893239975,500
0.016691211611032486,1000
0.01674751006066799,1500
0.016069212928414345,2000
0.018063398078083992,2500
0.015977242961525917,3000
0.015596720390021801,3500
0.014248324558138847,4000
0.013595528900623322,4500
0.016621850430965424,5000
0.014196286909282207,5500
0.015243519097566605,6000
0.013612834736704826,6500
0.015554639510810375,7000
0.01343456469476223,7500
0.013728469610214233,8000
0.015269957482814789,8500
0.014133717864751816,9000
0.01461508497595787,9500
0.01562267355620861,10000
0.014445929788053036,10500
0.014643189497292042,11000
0.013042505830526352,11500
0.012995152734220028,12000
0.014496738091111183,12500
0.012570377439260483,13000
0.013392559252679348,13500
0.01551117468625307,14000
0.012806272134184837,14500
0.014112337492406368,15000
0.015561387874186039,15500
0.015416638925671577,16000
0.013923320919275284,16500
0.013820811174809933,17000
0.014715692028403282,17500
0.012806590646505356,18000
0.012757446616888046,18500
0.01368783414363861,19000
0.014089277945458889,19500
0.013341424986720085,20000
0.014238649047911167,20500
0.015215381979942322,21000
0.013590209186077118,21500
0.012845192104578018,22000
0.0126487510278821,22500
0.012489060871303082,23000
0.015523070469498634,23500
0.01226115319877863,24000
0.012637663632631302,24500
0.013725795783102512,25000
0.013117783702909946,25500
0.01186317391693592,26000
0.01498956698924303,26500
0.014466098509728909,27000
0.010872134938836098,27500
0.013519193045794964,28000
0.012528733350336552,28500
0.013839902356266975,29000
0.013411126099526882,29500
0.012725780718028545,30000
