beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.013339400291442871,0.01314972247928381,0.013339400291442871,0.0,1,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.01230212114751339,0.012297248467803001,0.01230212114751339,0.0,500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.012833316810429096,0.01283152773976326,0.012833316810429096,0.0,1000,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.015345078893005848,0.015344139188528061,0.015345078893005848,0.0,1500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.012133672833442688,0.012133309617638588,0.012133672833442688,0.0,2000,1.0,0.25,0.25,0.25,0.25
0.8984375,0.8984375,0.8984375,0.014442085288465023,0.014441855251789093,0.014442091807723045,0.01123046875,2500,1.0,0.25,0.25,0.25,0.25
3.4375,3.4375,3.4375,0.013468874618411064,0.013468725606799126,0.013468872755765915,0.04296875,3000,1.0,0.25,0.25,0.25,0.2499999701976776
7.3828125,7.3828125,7.3828125,0.013289651833474636,0.013289576396346092,0.013289650902152061,0.09228515625,3500,1.0,0.2499999850988388,0.25,0.25,0.25
12.5,12.5,12.5,0.014508998021483421,0.01450895145535469,0.014508997090160847,0.15625,4000,1.0,0.25,0.25,0.25,0.2499999850988388
18.5546875,18.5546875,18.5546875,0.014596819877624512,0.014596786350011826,0.014596818946301937,0.23193359375,4500,1.0,0.2499999701976776,0.2500000298023224,0.2499999850988388,0.25
25.3125,25.3125,25.3125,0.013395429588854313,0.013395410031080246,0.013395428657531738,0.31640625,5000,1.0,0.25,0.25,0.25,0.2499999850988388
32.5390625,32.5390625,32.5390625,0.014091101475059986,0.014091091230511665,0.014091101475059986,0.40673828125,5500,1.0,0.25,0.25,0.25,0.25
40.0,40.0,40.0,0.013187140226364136,0.013187132775783539,0.013187140226364136,0.5,6000,1.0,0.25,0.25,0.25,0.25
47.4609375,47.4609375,47.4609375,0.014578437432646751,0.014578431844711304,0.014578437432646751,0.59326171875,6500,1.0,0.25,0.2499999850988388,0.25,0.25
54.6875,54.6875,54.6875,0.013707783073186874,0.01370778027921915,0.013707783073186874,0.68359375,7000,1.0,0.25,0.2499999850988388,0.25,0.25
61.4453125,61.4453125,61.4453125,0.01165714394301176,0.011657141149044037,0.011657143011689186,0.76806640625,7500,1.0,0.25,0.25,0.25,0.25
67.5,67.5,67.5,0.012806940823793411,0.012806938961148262,0.012806940823793411,0.84375,8000,1.0,0.25,0.25,0.25,0.25
72.6171875,72.6171875,72.6171875,0.012432770803570747,0.012432769872248173,0.012432770803570747,0.90771484375,8500,1.0,0.25,0.25,0.25,0.25
76.5625,76.5625,76.5625,0.014071337878704071,0.014071336947381496,0.014071337878704071,0.95703125,9000,1.0,0.25,0.25,0.25,0.25
79.1015625,79.1015625,79.1015625,0.012442849576473236,0.012442847713828087,0.012442849576473236,0.98876953125,9500,1.0,0.25,0.25,0.25,0.25
80.0,80.0,80.0,0.012766826897859573,0.012766826897859573,0.012766827829182148,1.0,10000,1.0,0.25,0.25,0.25,0.25
