beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.10285811126232147,0.10285811126232147,0.1386481672525406,0.0,1,0.36394816637039185,0.01171875,0.0546875,0.0625,0.87109375
0.0,0.0,0.0,0.011694530956447124,0.011694530956447124,0.3759627342224121,0.0,500,5.979470391048736e-11,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.014287025667726994,0.014287025667726994,0.26279568672180176,0.0,1000,5.979470391048736e-11,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.01281050220131874,0.01281050220131874,0.21631160378456116,0.0,1500,5.979470391048736e-11,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.013913633301854134,0.013913633301854134,0.16552358865737915,0.0,2000,5.979470391048736e-11,0.0,1.0,0.0,0.0
8.984375,5.243282794952393,4.411230087280273,0.013285103254020214,0.013285103254020214,0.14930474758148193,0.01123046875,2500,5.979470391048736e-11,0.0,1.0,0.0,0.0
34.375,20.151012420654297,16.876880645751953,0.013308086432516575,0.013308086432516575,0.11753880977630615,0.04296875,3000,5.979470391048736e-11,0.0,1.0,0.0,0.0
73.828125,43.76154708862305,36.24954605102539,0.013925392180681229,0.013925392180681229,0.10284803807735443,0.09228515625,3500,5.979470391048736e-11,0.0,1.0,0.0,0.0
125.0,70.946533203125,61.376075744628906,0.01175463106483221,0.01175463106483221,0.08688166737556458,0.15625,4000,5.979470391048736e-11,0.0,1.0,0.0,0.0
185.546875,106.32901000976562,91.10466003417969,0.01309698075056076,0.01309698075056076,0.08631908893585205,0.23193359375,4500,5.979470391048736e-11,0.0,1.0,0.0,0.0
253.125,143.60667419433594,124.284912109375,0.012443937361240387,0.012443937361240387,0.07806909084320068,0.31640625,5000,5.979470391048736e-11,0.0,1.0,0.0,0.0
325.390625,184.15704345703125,159.7538604736328,0.012510810978710651,0.012510810978710651,0.07317273318767548,0.40673828125,5500,5.979470391048736e-11,0.0,1.0,0.0,0.0
400.0,232.44210815429688,196.3975372314453,0.013201635330915451,0.013201635330915451,0.07632917165756226,0.5,6000,5.979470391048736e-11,0.0,1.0,0.0,0.0
474.609375,275.84271240234375,233.02841186523438,0.013358782976865768,0.013358782976865768,0.07104597240686417,0.59326171875,6500,5.979470391048736e-11,0.0,1.0,0.0,0.0
546.875,320.0371398925781,268.5271301269531,0.01237771101295948,0.01237771101295948,0.07088273763656616,0.68359375,7000,5.979470391048736e-11,0.0,1.0,0.0,0.0
614.453125,354.08331298828125,301.67974853515625,0.013363637030124664,0.013363637030124664,0.07227405905723572,0.76806640625,7500,5.979470391048736e-11,0.0,1.0,0.0,0.0
675.0,390.0765686035156,331.401123046875,0.012845421209931374,0.012845421209931374,0.0732351690530777,0.84375,8000,5.979470391048736e-11,0.0,1.0,0.0,0.0
726.171875,430.84112548828125,356.5417785644531,0.014630645513534546,0.014630645513534546,0.07670275866985321,0.90771484375,8500,5.979470391048736e-11,0.0,1.0,0.0,0.0
765.625,435.6383056640625,375.8977355957031,0.011736568994820118,0.011736568994820118,0.06880829483270645,0.95703125,9000,5.979470391048736e-11,0.0,1.0,0.0,0.0
791.015625,470.2770690917969,388.38836669921875,0.013821467757225037,0.013821467757225037,0.075813889503479,0.98876953125,9500,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,457.8114013671875,392.772216796875,0.012920891866087914,0.012920891866087914,0.07441305369138718,1.0,10000,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,463.83441162109375,392.8207702636719,0.012813962064683437,0.012813962064683437,0.07389930635690689,1.0,10500,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,462.54193115234375,392.7704772949219,0.012948031537234783,0.012948031537234783,0.07695020735263824,1.0,11000,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,450.4758605957031,392.80224609375,0.012302087619900703,0.012302087619900703,0.0723489299416542,1.0,11500,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,465.58837890625,392.79315185546875,0.01356605812907219,0.01356605812907219,0.07516497373580933,1.0,12000,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,454.34307861328125,392.7718505859375,0.011989753693342209,0.011989753693342209,0.07317519187927246,1.0,12500,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,465.4772644042969,392.7680969238281,0.014083587564527988,0.014083587564527988,0.0787743479013443,1.0,13000,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,463.6983642578125,392.7781982421875,0.013465970754623413,0.013465970754623413,0.0746862143278122,1.0,13500,5.979470391048736e-11,0.0,1.0,0.0,0.0
800.0,465.1668701171875,392.812744140625,0.013459766283631325,0.013459766283631325,0.0755884200334549,1.0,14000,5.979470391048736e-11,0.0,1.0,0.0,0.0
