A_diag,A_offdiag,C,d,dataset,feature_mode,mean_expert_mse,oracle_mse,posterior_argmax_agree_oracle,posterior_argmax_class_acc,posterior_argmax_excess_vs_oracle,posterior_argmax_mse,qeps_argmax_agree_oracle,qeps_argmax_class_acc,qeps_argmax_excess_vs_oracle,qeps_argmax_mse,risk_analytic_agree_oracle,risk_analytic_class_acc,risk_analytic_excess_vs_oracle,risk_analytic_mse,risk_empA_agree_oracle,risk_empA_class_acc,risk_empA_excess_vs_oracle,risk_empA_mse,t
0.7257286310195923,0.7604718804359436,10,64,mnist,pca,0.7547939419746399,0.7084338665008545,0.38359999656677246,0.777999997138977,0.023148857057094574,0.731582760810852,0.4796000123023987,0.8600000143051147,0.013200857676565647,0.7216347455978394,0.3797999918460846,0.7746000289916992,0.02307015284895897,0.7315040230751038,0.37880000472068787,0.774399995803833,0.023088831454515457,0.7315226793289185,0.15
0.5879232883453369,0.6307563185691833,10,64,mnist,pca,0.624570369720459,0.5754857659339905,0.4564000070095062,0.7124000191688538,0.023864896968007088,0.5993506908416748,0.6345999836921692,0.8600000143051147,0.007443344686180353,0.5829290747642517,0.451200008392334,0.7084000110626221,0.023887988179922104,0.5993737578392029,0.4519999921321869,0.7099999785423279,0.02379973791539669,0.5992854833602905,0.25
0.47689542174339294,0.5210856199264526,10,64,mnist,pca,0.5156251192092896,0.46837154030799866,0.46939998865127563,0.6470000147819519,0.025812719017267227,0.49418431520462036,0.718999981880188,0.8600000143051147,0.0045100790448486805,0.47288164496421814,0.4641999900341034,0.6388000249862671,0.025346675887703896,0.4937182664871216,0.46540001034736633,0.6389999985694885,0.025288915261626244,0.49366050958633423,0.35
0.35142284631729126,0.39169856905937195,10,64,mnist,pca,0.383899062871933,0.3430408239364624,0.43160000443458557,0.5414000153541565,0.02637193351984024,0.36941275000572205,0.7993999719619751,0.8600000143051147,0.002175277331843972,0.34521612524986267,0.423799991607666,0.5303999781608582,0.02572094462811947,0.3687617778778076,0.42320001125335693,0.5296000242233276,0.025755908340215683,0.368796706199646,0.5
0.23318858444690704,0.2648968994617462,10,64,mnist,pca,0.2593116760253906,0.22808103263378143,0.3635999858379364,0.43299999833106995,0.02372591942548752,0.25180694460868835,0.8519999980926514,0.8600000143051147,0.000903880107216537,0.22898490726947784,0.34860000014305115,0.4129999876022339,0.022915661334991455,0.2509966790676117,0.34880000352859497,0.414000004529953,0.022862428799271584,0.25094348192214966,0.7
0.17154155671596527,0.19678252935409546,10,64,mnist,pca,0.19264638423919678,0.16802191734313965,0.31839999556541443,0.3662000000476837,0.02049572952091694,0.18851765990257263,0.8777999877929688,0.8600000143051147,0.00048703080392442644,0.16850896179676056,0.2903999984264374,0.3328000009059906,0.01990613341331482,0.18792806565761566,0.2913999855518341,0.334199994802475,0.01990724541246891,0.187929168343544,0.85
0.10348188877105713,0.11992600560188293,10,64,mnist,pca,0.11720738559961319,0.10127735882997513,0.257999986410141,0.2919999957084656,0.014337182976305485,0.11561454832553864,0.9187999963760376,0.8600000143051147,0.0001670863712206483,0.10144446045160294,0.22519999742507935,0.25040000677108765,0.013468582183122635,0.11474593728780746,0.2248000055551529,0.25,0.013446354307234287,0.11472371965646744,1.1
0.0693134292960167,0.08072914928197861,10,64,mnist,pca,0.0786980390548706,0.06771361082792282,0.23680000007152557,0.25099998712539673,0.010162346996366978,0.07787594944238663,0.9391999840736389,0.8600000143051147,6.51824739179574e-05,0.06777878850698471,0.1876000016927719,0.19979999959468842,0.009436793625354767,0.07715040445327759,0.18940000236034393,0.20100000500679016,0.009388740174472332,0.07710234075784683,1.3
0.04636586084961891,0.05417994037270546,10,64,mnist,pca,0.05283275246620178,0.04532026872038841,0.20100000500679016,0.21320000290870667,0.007242520339787006,0.05256279185414314,0.9444000124931335,0.8600000143051147,3.237271812395193e-05,0.045352641493082047,0.15440000593662262,0.15880000591278076,0.006586235016584396,0.05190650746226311,0.15620000660419464,0.15880000591278076,0.006558215245604515,0.051878489553928375,1.5
0.025422552600502968,0.029802650213241577,10,64,mnist,pca,0.029009338468313217,0.024809230118989944,0.17139999568462372,0.18700000643730164,0.004113561008125544,0.028922786936163902,0.9621999859809875,0.8600000143051147,9.015443538373802e-06,0.024818245321512222,0.1324000060558319,0.12919999659061432,0.003695991588756442,0.028505221009254456,0.13120000064373016,0.12780000269412994,0.0036935685202479362,0.028502797707915306,1.8
