beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.01627873256802559,0.015364224091172218,0.01627873256802559,0.0,1,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.01613708958029747,0.01611192524433136,0.01613708958029747,0.0,500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.015606493689119816,0.015591423027217388,0.015606493689119816,0.0,1000,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.016426822170615196,0.016415609046816826,0.016426822170615196,0.0,1500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.01618817448616028,0.016178976744413376,0.01618817448616028,0.0,2000,1.0,0.25,0.25,0.25,0.25
0.8984375,0.8984375,0.8984375,0.014720510691404343,0.014714021235704422,0.014720495790243149,0.01123046875,2500,1.0,0.24999988079071045,0.2499997317790985,0.2500000596046448,0.25000035762786865
3.4375,3.4375,3.4375,0.014957181178033352,0.01495232805609703,0.014957177452743053,0.04296875,3000,1.0,0.25,0.25000056624412537,0.24999916553497314,0.2500002682209015
7.3828125,7.3828125,7.3828125,0.014420434832572937,0.014416848309338093,0.014420432969927788,0.09228515625,3500,1.0,0.25000011920928955,0.25000035762786865,0.24999910593032837,0.2500004470348358
12.5,12.5,12.5,0.014142017811536789,0.014139275997877121,0.014142017811536789,0.15625,4000,1.0,0.24999941885471344,0.24999935925006866,0.2500009536743164,0.2500002980232239
18.5546875,18.5546875,18.5546875,0.015392227098345757,0.01538950763642788,0.015392227098345757,0.23193359375,4500,1.0,0.24999935925006866,0.2499980926513672,0.25000283122062683,0.24999970197677612
25.3125,25.3125,25.3125,0.014057773165404797,0.014055904000997543,0.014057773165404797,0.31640625,5000,1.0,0.2500007748603821,0.25000065565109253,0.2499990314245224,0.24999955296516418
32.5390625,32.5390625,32.5390625,0.014302653260529041,0.014301130548119545,0.014302653260529041,0.40673828125,5500,1.0,0.2500002086162567,0.2500009536743164,0.2499985545873642,0.2500002980232239
40.0,40.0,40.0,0.013979503884911537,0.013978255912661552,0.013979503884911537,0.5,6000,1.0,0.24999931454658508,0.2500009536743164,0.24999871850013733,0.25000104308128357
