beta_x,n,oracle_usage_0,oracle_usage_1,oracle_usage_2,oracle_usage_3,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,risk_usage_2,risk_usage_3,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,teacher_usage_2,teacher_usage_3,v_t
80.0,16384,0.22039794921875,0.2630615234375,0.3525390625,0.16400146484375,0.80303955078125,1.176312025563675e-06,5.960464477539063e-08,0.0,0.2255859375,0.7744140625,0.0,2.0287930965423584e-05,5.874290764040779e-06,0.019999999552965164,0.9999998807907104,0.2500029504299164,0.2500249147415161,0.25003743171691895,0.24993479251861572,0.2439037561416626
80.0,16384,0.2369384765625,0.22601318359375,0.2576904296875,0.27935791015625,0.79681396484375,1.4373006251844345e-07,3.725290298461914e-09,0.1968994140625,0.3128662109375,0.18719482421875,0.30303955078125,9.17110446607694e-06,3.0042201615287922e-06,0.1495652198791504,1.0,0.2500026822090149,0.2500014901161194,0.24999511241912842,0.2500007748603821,0.4165037274360657
80.0,16384,0.26690673828125,0.22119140625,0.240966796875,0.27093505859375,0.77459716796875,1.943566303452826e-07,7.82310962677002e-08,0.69805908203125,0.113037109375,0.0,0.18890380859375,7.179656677180901e-06,2.346343990211608e-06,0.2791304588317871,1.0,0.25000569224357605,0.25000086426734924,0.24999350309371948,0.24999992549419403,0.5497029423713684
80.0,16384,0.2515869140625,0.2230224609375,0.23736572265625,0.28802490234375,0.73516845703125,1.095412471840973e-07,1.862645149230957e-08,0.58154296875,0.2440185546875,0.0,0.1744384765625,6.163212674437091e-06,2.0733182282128837e-06,0.40869566798210144,1.0,0.25000327825546265,0.250001460313797,0.24999375641345978,0.25000154972076416,0.6524956822395325
80.0,16384,0.2567138671875,0.21612548828125,0.252685546875,0.27447509765625,0.66448974609375,1.1740445415853173e-07,3.3527612686157227e-08,0.71368408203125,0.28631591796875,0.0,0.0,5.365209290175699e-06,1.8103497723132023e-06,0.5382608771324158,1.0,0.2500030994415283,0.25000134110450745,0.24999582767486572,0.24999968707561493,0.7318229675292969
80.0,16384,0.231689453125,0.2054443359375,0.28106689453125,0.28179931640625,0.55364990234375,8.764254744164646e-08,1.862645149230957e-09,0.2689208984375,0.59033203125,0.000732421875,0.1400146484375,4.857778549194336e-06,1.6787433878562297e-06,0.6678261160850525,1.0,0.2500002384185791,0.25000089406967163,0.2499988079071045,0.2500000298023224,0.7930418252944946
80.0,16384,0.21771240234375,0.21661376953125,0.2811279296875,0.2845458984375,0.437255859375,1.6282956494251266e-07,1.6763806343078613e-08,0.04931640625,0.7520751953125,0.09637451171875,0.10223388671875,4.410743713378906e-06,1.5121736396395136e-06,0.7973913550376892,1.0,0.24999931454658508,0.2500016987323761,0.2499988079071045,0.2500001788139343,0.8402858972549438
80.0,16384,0.21844482421875,0.21319580078125,0.29071044921875,0.27764892578125,0.32763671875,1.0266273875458864e-07,1.30385160446167e-08,0.0325927734375,0.83172607421875,0.07000732421875,0.065673828125,3.930181264877319e-06,1.3755411600868683e-06,0.9269565939903259,1.0,0.24999910593032837,0.2500007152557373,0.249999538064003,0.2500006854534149,0.8767450451850891
80.0,16384,0.237548828125,0.1959228515625,0.29266357421875,0.27386474609375,0.24786376953125,4.725501412394806e-08,9.313225746154785e-09,0.059326171875,0.36871337890625,0.57080078125,0.00115966796875,3.902241587638855e-06,1.2752389011438936e-06,1.0565217733383179,1.0,0.25000038743019104,0.24999988079071045,0.2500002384185791,0.24999944865703583,0.9048812985420227
80.0,16384,0.251708984375,0.20343017578125,0.2926025390625,0.25225830078125,0.19598388671875,6.547145403601462e-08,7.450580596923828e-09,0.0777587890625,0.258056640625,0.6641845703125,0.0,3.4831464290618896e-06,1.1340474657117738e-06,1.1860870122909546,1.0,0.2500011622905731,0.2500004470348358,0.2500002980232239,0.2499980926513672,0.9265948534011841
