A_ck_rank,A_ck_s1,A_ck_s2,A_ck_std,bayes_risk_excess_mean,beta,beta_gap,beta_times_lambda_class,beta_times_lambda_free,beta_times_lambda_trans,cost_gap_mean,instability_class,instability_free,instability_trans,mean_expert_mse,oracle_best_mse,oracle_class_mi_norm,oracle_usage_entropy,posterior_acc,posterior_ce,rho,risk_margin_mean,risk_margin_p95,soft_oracle_mse,t,teacher_entropy_norm
3.0,0.2255958616733551,0.03950285166501999,0.03680412471294403,0.0,25.647345702243644,0.9400937557220459,0.24999999999999997,0.6124214785155894,0.057893373205675336,0.03665462136268616,0.0,1.0,0.0,0.2176959216594696,0.18104130029678345,0.39996240094757013,0.9733802676200867,0.73974609375,0.7824716567993164,0.5,0.012433469295501709,0.03377528861165047,0.19535613059997559,0.6,0.8488860130310059
3.0,0.3416520953178406,0.21609632670879364,0.06665494292974472,0.0,51.29469140448729,5.019779682159424,0.49999999999999994,1.2248429570311787,0.11578674641135067,0.09786158055067062,0.0,1.0,0.0,0.2719267010688782,0.17406511306762695,0.6023179301905464,0.9963279962539673,0.73974609375,0.7824716567993164,1.0,0.053004391491413116,0.10491857677698135,0.1773063838481903,0.6,0.22645729780197144
3.0,0.38600465655326843,0.14368936419487,0.06703502684831619,0.0,102.58938280897458,9.758602142333984,0.9999999999999999,2.4496859140623575,0.23157349282270134,0.09512291848659515,1.0,1.0,0.0,0.270677387714386,0.17555448412895203,0.5240014637045226,0.9870883822441101,0.73974609375,0.7824716567993164,2.0,0.052177779376506805,0.1316731572151184,0.17629948258399963,0.6,0.11005901545286179
4.0,2.4718334046269774e-08,2.1708872921522016e-08,6.0716636163249404e-09,0.0,28.411009399584476,6.037695357008488e-07,0.25,0.4345708059341955,0.029602330818592572,2.125125320162624e-08,0.0,0.0,0.0,0.10385413467884064,0.10385411977767944,0.005651853095115547,0.9943885207176208,0.5888671875,1.2485183477401733,0.5,1.7826096154749393e-09,7.450580596923828e-09,0.10385414212942123,1.0,1.0
3.0,0.09596087038516998,0.03637436777353287,0.017085619270801544,0.0,56.82201879916895,1.5016727447509766,0.5,0.869141611868391,0.059204661637185144,0.026427656412124634,0.0,1.0,0.0,0.11680492758750916,0.09037727117538452,0.45317377938640413,0.9985190629959106,0.5888671875,1.2485183477401733,1.0,0.013381769880652428,0.030247796326875687,0.09744405746459961,1.0,0.6846781373023987
3.0,0.13474296033382416,0.07907118648290634,0.026404228061437607,0.0,113.6440375983379,4.898900985717773,1.0,1.738283223736782,0.11840932327437029,0.04310741648077965,1.0,1.0,0.0,0.13257460296154022,0.08946716785430908,0.5907821455104972,0.997873067855835,0.5888671875,1.2485183477401733,2.0,0.024014955386519432,0.051815785467624664,0.09090153872966766,1.0,0.22035783529281616
4.0,1.4789210744936554e-08,1.172050012598902e-08,3.7240961425766272e-09,0.0,39.472554574369944,6.787986990275385e-07,0.24999999999999997,0.3474893499571616,0.020553710966722663,1.7196725821122527e-08,0.0,0.0,0.0,0.05336831882596016,0.05336830019950867,0.011308473851893383,0.9953736662864685,0.4013671875,1.701198935508728,0.5,3.219611244276166e-10,3.725290298461914e-09,0.05336832255125046,1.4,1.0
3.0,0.024736596271395683,0.002991503570228815,0.00399004714563489,0.0,78.94510914873989,0.36484089493751526,0.49999999999999994,0.6949786999143232,0.041107421933445326,0.004621450323611498,0.0,1.0,0.0,0.05473608523607254,0.05011463537812233,0.26496590243049534,0.8738217949867249,0.4013671875,1.701198935508728,1.0,0.0014272431144490838,0.009438968263566494,0.05257655680179596,1.4,0.9445757269859314
3.0,0.05078747123479843,0.028915487229824066,0.009928223676979542,0.0,157.89021829747978,2.7209553718566895,0.9999999999999999,1.3899573998286463,0.08221484386689065,0.017233211547136307,1.0,1.0,0.0,0.06338648498058319,0.046153269708156586,0.4411181776308445,0.9971595406532288,0.4013671875,1.701198935508728,2.0,0.006894934456795454,0.01831820048391819,0.048029761761426926,1.4,0.4359653890132904
4.0,6.825870979554338e-09,5.282376314141857e-09,1.5782537499120508e-09,0.0,71.49485912259377,1.1921861187147442e-06,0.25,0.31474194270939315,0.01960823448601347,1.6675130609655753e-08,0.0,0.0,0.0,0.026252754032611847,0.026252739131450653,0.006545782703046103,0.9988222718238831,0.28564453125,2.0010502338409424,0.5,5.466063157655299e-10,1.862645149230957e-09,0.026252757757902145,1.8,1.0
2.0,0.010691262781620026,2.3085321743110399e-07,0.0017119719414040446,0.0,142.98971824518753,0.2545047402381897,0.5,0.6294838854187863,0.03921646897202694,0.001779881538823247,0.0,1.0,0.0,0.026857595890760422,0.025077715516090393,0.12394598618416755,0.854587197303772,0.28564453125,2.0010502338409424,1.0,0.00037186950794421136,0.0026716722641140223,0.026017818599939346,1.8,0.9603229761123657
