bayes_risk_excess_mean,beta,beta_times_lambda_class,linear_router_acc_vs_risk,linear_router_class_mi_norm,linear_router_excess_mean,linear_router_excess_p95,linear_router_mean_conf,linear_router_usage_entropy,posterior_acc,rho,risk_label_class_mi_norm,risk_label_usage_entropy,risk_margin_mean,risk_margin_train_mean,t
0.0,25.647345702243644,0.24999999999999997,0.79931640625,0.4132636579959033,0.002698856871575117,0.018471110612154007,0.7698580026626587,0.9681463241577148,0.73974609375,0.5,0.47889004076350555,0.9832964539527893,0.012433469295501709,0.012455248273909092,0.6
0.0,51.29469140448729,0.49999999999999994,0.859375,0.5072737637829882,0.004390176385641098,0.029731357470154762,0.8254818916320801,0.9838950037956238,0.73974609375,1.0,0.5703789946709584,0.9813763499259949,0.053004391491413116,0.051572833210229874,0.6
0.0,102.58938280897458,0.9999999999999999,0.8330078125,0.44097520410012514,0.006515400484204292,0.04885806515812874,0.8070910573005676,0.9682446718215942,0.73974609375,2.0,0.5182753832610082,0.9796006083488464,0.052177779376506805,0.05182891711592674,0.6
0.0,28.411009399584476,0.25,0.6669921875,0.18941318075525623,8.949427865445614e-10,7.450580596923828e-09,0.6587141752243042,0.7412580251693726,0.5888671875,0.5,0.15423829580600038,0.755409300327301,1.7826096154749393e-09,1.9563983766346382e-09,1.0
0.0,56.82201879916895,0.5,0.8330078125,0.31301823452688077,0.001179438317194581,0.0086445864289999,0.7643545269966125,0.983057975769043,0.5888671875,1.0,0.3654938837986129,0.9846868515014648,0.013381769880652428,0.013393380679190159,1.0
0.0,113.6440375983379,1.0,0.822265625,0.3001351391450196,0.0022199139930307865,0.01616446115076542,0.7657144069671631,0.9896893501281738,0.5888671875,2.0,0.3626077345822416,0.9892170429229736,0.024014955386519432,0.02403111942112446,1.0
0.0,39.472554574369944,0.24999999999999997,0.61572265625,0.08436088153033494,3.2014213502407074e-10,3.725290298461914e-09,0.6081176996231079,0.7253596186637878,0.4013671875,0.5,0.06150204734240605,0.7533986568450928,3.219611244276166e-10,3.4458935704861915e-10,1.4
0.0,78.94510914873989,0.49999999999999994,0.76904296875,0.150929298749911,0.0001655141677474603,0.0009141504415310919,0.6951889991760254,0.7835735082626343,0.4013671875,1.0,0.15057764640388444,0.9184660315513611,0.0014272431144490838,0.001437731902115047,1.4
0.0,157.89021829747978,0.9999999999999999,0.8486328125,0.16207723746611308,0.0004696655669249594,0.0034572132863104343,0.7308011651039124,0.9890992045402527,0.4013671875,2.0,0.18485769223693135,0.9910995364189148,0.006894934456795454,0.007075143046677113,1.4
0.0,71.49485912259377,0.25,0.65771484375,0.056009968893678604,2.6830093702301383e-10,1.862645149230957e-09,0.630094051361084,0.4970209002494812,0.28564453125,0.5,0.02792527362888115,0.5623953938484192,5.466063157655299e-10,5.098991229246508e-10,1.8
0.0,142.98971824518753,0.5,0.96875,0.09328732072937337,8.623106623417698e-06,0.0,0.8070622682571411,0.34288454055786133,0.28564453125,1.0,0.09788558122538364,0.34810611605644226,0.00037186950794421136,0.00036086022737435997,1.8
0.0,285.97943649037506,1.0,0.87353515625,0.08543151066613053,8.071547199506313e-05,0.0005565753672271967,0.7302697896957397,0.9310571551322937,0.28564453125,2.0,0.09234993272031775,0.9413133263587952,0.0018048888305202127,0.001802915590815246,1.8
0.0,153.14704767327393,0.25,0.7734375,0.040170984763513815,7.412381819449365e-11,9.313225746154785e-10,0.714961051940918,0.1479313224554062,0.212890625,0.5,0.02042679199531569,0.46987250447273254,7.748894859105349e-10,7.71600727755839e-10,2.2
0.0,306.29409534654786,0.5,0.966796875,0.0581507644707684,3.3773098948586266e-06,0.0,0.8005541563034058,0.22919058799743652,0.212890625,1.0,0.05212456677152466,0.2519545257091522,5.5022195738274604e-05,4.654160511563532e-05,2.2
0.0,612.5881906930957,1.0,0.88720703125,0.0326393866661803,2.3034379410091788e-05,0.00011058396194130182,0.750008225440979,0.7703106999397278,0.212890625,2.0,0.03988445281798765,0.8124919533729553,0.0005066576995886862,0.000517618318554014,2.2
0.0,346.9102937266187,0.25,0.50537109375,0.02373642015870263,1.1891643225681037e-10,4.656612873077393e-10,0.5224727392196655,0.7027390599250793,0.1533203125,0.5,0.01119732382156233,0.878279983997345,2.4010660126805305e-10,2.454811076635366e-10,2.6
0.0,693.8205874532374,0.5,0.978515625,0.03141566096229178,1.9786775737884454e-06,0.0,0.815759539604187,0.06095421314239502,0.1533203125,1.0,0.03233466203806852,0.11213561147451401,7.791912139509805e-06,7.190380983956857e-06,2.6
0.0,1387.6411749064748,1.0,0.93310546875,0.022427399912566856,3.006681936312816e-06,1.1833942153316457e-05,0.7825231552124023,0.4756282567977905,0.1533203125,2.0,0.028684384215020814,0.49902594089508057,0.0001773266412783414,0.00017663162725511938,2.6
0.0,762.3988919126701,0.25,0.6669921875,0.011597590263735238,2.6716406864579767e-11,2.3283064365386963e-10,0.6485341787338257,0.3532147705554962,0.12548828125,0.5,0.008773895619806717,0.5339753031730652,1.9122126104775816e-10,1.9520908500769707e-10,3.0
0.0,1524.7977838253403,0.5,0.9970703125,0.0,1.6022727322706487e-07,0.0,0.8372050523757935,5.979470391048736e-11,0.12548828125,1.0,0.10826245197933088,0.014436939731240273,6.768815410396201e-07,5.65891241421923e-07,3.0
0.0,3049.5955676506806,1.0,0.97021484375,0.024781015672539604,9.329858130513458e-08,0.0,0.8182612657546997,0.08277688175439835,0.12548828125,2.0,0.00820132305769257,0.14996597170829773,2.5878138330881484e-05,2.5699480829644017e-05,3.0
