A_cond_smax_over_smin,A_rank_eps1e-8,A_sval_0,A_sval_1,A_sval_2,A_sval_3,A_sval_max,A_sval_min,bayes_decision_entropy_t,beta_x,delta_A_mean_min_interexpert,n,oracle_usage_0,oracle_usage_1,oracle_usage_2,oracle_usage_3,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,risk_usage_2,risk_usage_3,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,teacher_usage_2,teacher_usage_3,v_t
68111616.0,3.0,0.5020870566368103,4.328629543692841e-08,1.2297064699851035e-08,7.371533161659727e-09,0.5020870566368103,7.371533161659727e-09,0.24483086168766022,80.0,0.0,16384,0.60699462890625,0.22406005859375,0.10986328125,0.05908203125,0.803955078125,2.773958840407431e-11,0.0,0.89337158203125,0.10662841796875,0.0,0.0,1.4901161193847656e-08,3.469438070169417e-09,0.019999999552965164,1.0,0.25,0.25,0.25,0.25,0.2439037263393402
88413200.0,2.0,0.24588240683078766,2.106175855942638e-08,3.9690681852277976e-09,2.7810598268729336e-09,0.24588240683078766,2.7810598268729336e-09,0.35453736782073975,80.0,0.0,16384,0.5732421875,0.22314453125,0.13421630859375,0.06939697265625,0.79638671875,7.224798537208699e-10,0.0,0.80633544921875,0.19366455078125,0.0,0.0,7.450580596923828e-09,1.9500419057294494e-09,0.1495652198791504,1.0,0.25,0.25,0.25,0.25,0.4165037274360657
52620852.0,2.0,0.1933700144290924,1.45046188393394e-08,6.8143752862681595e-09,3.674779147644358e-09,0.1933700144290924,3.674779147644358e-09,0.2190934717655182,80.0,0.0,16384,0.54150390625,0.2269287109375,0.154296875,0.0772705078125,0.77825927734375,1.7138290786533616e-10,0.0,0.90948486328125,0.09051513671875,0.0,0.0,7.450580596923828e-09,1.7070647118089255e-09,0.2791304588317871,1.0,0.25,0.25,0.25,0.25,0.5497028827667236
264003168.0,1.0,0.1663469523191452,4.385503959980497e-09,3.1817042334125745e-09,6.300945321058293e-10,0.1663469523191452,6.300945321058293e-10,0.4061071574687958,80.0,0.0,16384,0.50067138671875,0.259033203125,0.159423828125,0.08087158203125,0.7342529296875,1.2522605175036006e-10,0.0,0.7806396484375,0.2105712890625,0.0087890625,0.0,5.587935447692871e-09,1.5794654473211267e-09,0.40869566798210144,1.0,0.25,0.25,0.25,0.25,0.6524956822395325
55959912448.0,1.0,0.1488843411207199,4.8005373010084895e-09,1.3112609886789528e-09,2.6605534182017054e-12,0.1488843411207199,2.6605534182017054e-12,0.440001904964447,80.0,0.0,16384,0.4888916015625,0.25909423828125,0.1673583984375,0.08465576171875,0.66644287109375,0.0,0.0,0.7010498046875,0.2989501953125,0.0,0.0,5.587935447692871e-09,1.4661196701126755e-09,0.5382608771324158,1.0,0.25,0.25,0.25,0.25,0.7318229675292969
135955750912.0,1.0,0.13595575094223022,8.140109031273823e-09,1.820920192407982e-09,1.0151736194957093e-16,0.13595575094223022,1.0151736194957093e-16,0.44041725993156433,80.0,0.0,16384,0.48480224609375,0.26348876953125,0.1614990234375,0.0902099609375,0.5537109375,3.5555558497435413e-10,0.0,0.719482421875,0.27740478515625,0.00311279296875,0.0,3.725290298461914e-09,1.3364100936996692e-09,0.6678261160850525,1.0,0.25,0.25,0.25,0.25,0.7930418252944946
126330003456.0,1.0,0.12633000314235687,7.692452896890245e-09,3.3037614866060494e-09,2.629474447831152e-15,0.12633000314235687,2.629474447831152e-15,0.27186787128448486,80.0,0.0,16384,0.48883056640625,0.26165771484375,0.1573486328125,0.0921630859375,0.4351806640625,0.0,0.0,0.87493896484375,0.12506103515625,0.0,0.0,3.725290298461914e-09,1.2722622955152474e-09,0.7973913550376892,1.0,0.25,0.25,0.25,0.25,0.8402858972549438
115895140352.0,1.0,0.11589513719081879,4.424836497207707e-09,3.977918883180109e-09,3.1494511393707404e-16,0.11589513719081879,3.1494511393707404e-16,0.4539036452770233,80.0,0.0,16384,0.46923828125,0.26904296875,0.1683349609375,0.0933837890625,0.3326416015625,0.0,0.0,0.67681884765625,0.32318115234375,0.0,0.0,3.725290298461914e-09,1.1944436550948012e-09,0.9269565939903259,1.0,0.25,0.25,0.25,0.25,0.8767450451850891
137893792.0,1.0,0.10476408153772354,4.031617262256759e-09,1.8726820094627783e-09,7.597447670981694e-10,0.10476408153772354,7.597447670981694e-10,0.0025373781099915504,80.0,0.0,16384,0.4635009765625,0.26654052734375,0.174560546875,0.09539794921875,0.25091552734375,4.1580960896681063e-10,0.0,0.9996337890625,0.00018310546875,0.0,0.00018310546875,3.725290298461914e-09,1.1459704296612472e-09,1.0565217733383179,1.0,0.25,0.25,0.25,0.25,0.9048812985420227
92951814144.0,1.0,0.09295181185007095,5.65970470489674e-09,1.3767312845303081e-09,4.638581727924029e-13,0.09295181185007095,4.638581727924029e-13,5.979470391048736e-11,80.0,0.0,16384,0.4649658203125,0.26922607421875,0.171630859375,0.09417724609375,0.1947021484375,0.0,0.0,1.0,0.0,0.0,0.0,3.725290298461914e-09,1.0372929182267399e-09,1.1860870122909546,1.0,0.25,0.25,0.25,0.25,0.9265948534011841
72677952.0,1.0,0.08081403374671936,4.3040899733171045e-09,1.1839038638328248e-09,1.111947089960097e-09,0.08081403374671936,1.111947089960097e-09,0.4408229887485504,80.0,0.0,16384,0.452880859375,0.27734375,0.17462158203125,0.09515380859375,0.16021728515625,3.1604940886609256e-11,0.0,0.81158447265625,0.1424560546875,0.037109375,0.00885009765625,2.7939677238464355e-09,9.366516451336793e-10,1.3156522512435913,1.0,0.25,0.25,0.25,0.25,0.9433515071868896
68343156736.0,1.0,0.0683431550860405,2.710036639541613e-09,1.3467316151150044e-09,2.0391481760111867e-16,0.0683431550860405,2.0391481760111867e-16,0.1874980479478836,80.0,0.0,16384,0.427490234375,0.2799072265625,0.1923828125,0.1002197265625,0.1380615234375,1.4442207429965492e-09,0.0,0.07244873046875,0.92755126953125,0.0,0.0,2.7939677238464355e-09,7.943299351609312e-10,1.445217490196228,1.0,0.25,0.25,0.25,0.25,0.9562830924987793
104507952.0,1.0,0.05718564987182617,3.0500515446618692e-09,2.197957593708111e-09,5.471894604092142e-10,0.05718564987182617,5.471894604092142e-10,0.34481531381607056,80.0,0.0,16384,0.42218017578125,0.28729248046875,0.19317626953125,0.09735107421875,0.1265869140625,1.375610736431554e-10,0.0,0.8516845703125,0.0,0.019775390625,0.1285400390625,2.7939677238464355e-09,7.904361609689659e-10,1.5747824907302856,1.0,0.25,0.25,0.25,0.25,0.9662627577781677
54552296.0,1.0,0.046975694596767426,1.437443386542725e-09,1.4363955580520837e-09,8.611130697389058e-10,0.046975694596767426,8.611130697389058e-10,0.4055127203464508,80.0,0.0,16384,0.40484619140625,0.29779052734375,0.19195556640625,0.10540771484375,0.11505126953125,3.097966327914037e-11,0.0,0.1812744140625,0.80010986328125,0.01861572265625,0.0,1.862645149230957e-09,6.230429505649226e-10,1.7043477296829224,1.0,0.25,0.25,0.25,0.25,0.9739641547203064
56843620.0,1.0,0.038150135427713394,1.6183768769550966e-09,8.756085856376217e-10,6.711419198168755e-10,0.038150135427713394,6.711419198168755e-10,0.4971816837787628,80.0,0.0,16384,0.35638427734375,0.311767578125,0.22198486328125,0.10986328125,0.10894775390625,4.3087311496492475e-11,0.0,0.3448486328125,0.646728515625,0.0084228515625,0.0,1.862645149230957e-09,5.830855798194534e-10,1.833912968635559,1.0,0.25,0.25,0.25,0.25,0.9799076318740845
51856664.0,1.0,0.030586116015911102,2.8271172070049033e-09,8.695606457109761e-10,5.898203592202833e-10,0.030586116015911102,5.898203592202833e-10,0.2710843086242676,80.0,0.0,16384,0.3646240234375,0.3045654296875,0.21246337890625,0.11834716796875,0.107421875,6.969571586523671e-10,0.0,0.11431884765625,0.0030517578125,0.88262939453125,0.0,1.862645149230957e-09,5.169482619749033e-10,1.9634782075881958,1.0,0.25,0.25,0.25,0.25,0.9844942092895508
147213088.0,1.0,0.024410400539636612,1.1483459738670376e-09,3.6465647168526516e-10,1.6581679085359013e-10,0.024410400539636612,1.6581679085359013e-10,0.01469316054135561,80.0,0.0,16384,0.3480224609375,0.31396484375,0.20501708984375,0.13299560546875,0.1041259765625,1.9895196601282805e-13,0.0,0.99700927734375,0.00299072265625,0.0,0.0,1.3969838619232178e-09,4.954472387908027e-10,2.093043327331543,1.0,0.25,0.25,0.25,0.25,0.9880338311195374
89351512.0,1.0,0.019309453666210175,6.773144822780353e-10,3.778836965562249e-10,2.161066325889749e-10,0.019309453666210175,2.161066325889749e-10,0.2888481616973877,80.0,0.0,16384,0.29827880859375,0.33380126953125,0.23150634765625,0.13641357421875,0.10223388671875,3.313829211037955e-10,0.0,0.09490966796875,0.0103759765625,0.889892578125,0.00482177734375,1.3969838619232178e-09,3.991615926679515e-10,2.2226085662841797,1.0,0.25,0.25,0.25,0.25,0.9907654523849487
