A_cond_smax_over_smin,A_rank_eps1e-8,A_sval_0,A_sval_1,A_sval_2,A_sval_3,A_sval_max,A_sval_min,bayes_decision_entropy_t,beta_x,delta_A_mean_min_interexpert,n,oracle_usage_0,oracle_usage_1,oracle_usage_2,oracle_usage_3,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,risk_usage_2,risk_usage_3,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,teacher_usage_2,teacher_usage_3,v_t
986286.3125,4.0,0.554795503616333,7.728670425422024e-06,3.1638110158382915e-06,5.625095695904747e-07,0.554795503616333,5.625095695904747e-07,5.979470391048736e-11,80.0,8.665025461596088e-07,4096,0.350830078125,0.19580078125,0.259765625,0.193603515625,0.8017578125,1.92490824701963e-06,6.705522537231445e-08,1.0,0.0,0.0,0.0,2.8584152460098267e-05,8.64945468492806e-06,0.019999999552965164,0.9999997615814209,0.25006967782974243,0.24994218349456787,0.2500162720680237,0.2499718964099884,0.2434641420841217
349412.21875,4.0,0.27135899662971497,1.7835213839134667e-06,9.856629503701697e-07,7.76615650011081e-07,0.27135899662971497,7.76615650011081e-07,0.69222491979599,80.0,1.73225998878479e-07,4096,0.24462890625,0.312744140625,0.199462890625,0.2431640625,0.78857421875,4.049461495014839e-07,2.2351741790771484e-08,0.349609375,0.54443359375,0.099853515625,0.006103515625,1.620408147573471e-05,5.264643732516561e-06,0.1495652198791504,1.0,0.2500041723251343,0.25001123547554016,0.249989852309227,0.24999473989009857,0.41616445779800415
597804.125,4.0,0.21687252819538116,1.8289238141733222e-06,8.653161671645648e-07,3.6278191828387207e-07,0.21687252819538116,3.6278191828387207e-07,0.7515645027160645,80.0,8.642673776648735e-08,4096,0.261474609375,0.283447265625,0.226806640625,0.228271484375,0.7724609375,1.987286850635428e-07,3.725290298461914e-08,0.49072265625,0.286865234375,0.222412109375,0.0,1.1895783245563507e-05,3.849326731142355e-06,0.2791304588317871,1.0,0.25000718235969543,0.24999943375587463,0.25000113248825073,0.249992236495018,0.5494410991668701
347422.3125,4.0,0.18769371509552002,1.7547429251862923e-06,5.671572012033721e-07,5.40246560376545e-07,0.18769371509552002,5.40246560376545e-07,0.6619499325752258,80.0,1.5674159214995598e-07,4096,0.260009765625,0.324462890625,0.21533203125,0.2001953125,0.740234375,2.1850041775905993e-07,1.4901161193847656e-08,0.236328125,0.618896484375,0.144775390625,0.0,9.906478226184845e-06,3.0978039831097703e-06,0.40869566798210144,1.0,0.25000613927841187,0.2500062584877014,0.24999983608722687,0.24998778104782104,0.6522936820983887
320816.0,4.0,0.16821640729904175,1.3704299135497422e-06,6.295333037087403e-07,5.243392138254421e-07,0.16821640729904175,5.243392138254421e-07,0.5153348445892334,80.0,1.6223638965584541e-07,4096,0.227294921875,0.354248046875,0.234619140625,0.183837890625,0.654052734375,3.622074018494459e-07,4.6100467443466187e-08,0.085693359375,0.755615234375,0.15869140625,0.0,8.835457265377045e-06,2.653487172210589e-06,0.5382608771324158,1.0,0.2500024139881134,0.25001025199890137,0.24999959766864777,0.24998776614665985,0.7316670417785645
342712.9375,4.0,0.15682043135166168,1.45577109833539e-06,7.60059890581033e-07,4.575854006816371e-07,0.15682043135166168,4.575854006816371e-07,0.5118153095245361,80.0,8.381903171539307e-08,4096,0.2236328125,0.32373046875,0.249267578125,0.203369140625,0.548828125,2.511603724997258e-07,1.862645149230957e-09,0.10009765625,0.7626953125,0.13720703125,0.0,8.215662091970444e-06,2.5284598450525664e-06,0.6678261160850525,1.0,0.2500011920928955,0.2500052750110626,0.250000923871994,0.24999260902404785,0.7929214835166931
270930.8125,4.0,0.14451724290847778,8.516290108673275e-07,6.308431466095499e-07,5.334101160769933e-07,0.14451724290847778,5.334101160769933e-07,0.40180400013923645,80.0,1.0253861404407871e-07,4096,0.205322265625,0.329345703125,0.248779296875,0.216552734375,0.433837890625,2.1802406990900636e-07,3.91155481338501e-08,0.05078125,0.831298828125,0.117919921875,0.0,6.939750164747238e-06,2.1055166143923998e-06,0.7973913550376892,1.0,0.24999921023845673,0.2500060796737671,0.2500007748603821,0.2499939501285553,0.8401930332183838
244362.4375,4.0,0.1303367018699646,1.0532237411098322e-06,7.78325556893833e-07,5.333745320967864e-07,0.1303367018699646,5.333745320967864e-07,0.3707975447177887,80.0,5.997717522632229e-08,4096,0.205810546875,0.327880859375,0.251953125,0.21435546875,0.31640625,1.5253840501827653e-07,1.862645149230957e-08,0.02880859375,0.840576171875,0.130615234375,0.0,6.42240047454834e-06,1.9193519165128237e-06,0.9269565939903259,1.0,0.25000011920928955,0.25000491738319397,0.2500007152557373,0.24999427795410156,0.8766734004020691
221083.484375,4.0,0.11662306636571884,1.2299501577217598e-06,5.805035243611201e-07,5.275069270282984e-07,0.11662306636571884,5.275069270282984e-07,0.23250089585781097,80.0,5.252659462939846e-08,4096,0.202392578125,0.284912109375,0.240966796875,0.271728515625,0.240966796875,1.0903795555350371e-07,2.421438694000244e-08,0.002685546875,0.9267578125,0.03662109375,0.033935546875,5.621463060379028e-06,1.8420846572553273e-06,1.0565217733383179,1.0,0.2499995231628418,0.2500009834766388,0.25000014901161194,0.24999937415122986,0.9048259854316711
203280.125,4.0,0.1008196696639061,9.449416893403395e-07,7.971910349624522e-07,4.959642296853417e-07,0.1008196696639061,4.959642296853417e-07,0.11748306453227997,80.0,7.115304612170803e-08,4096,0.199462890625,0.3154296875,0.233642578125,0.25146484375,0.19287109375,2.6881434678216465e-07,9.499490261077881e-08,0.017333984375,0.97021484375,0.006103515625,0.00634765625,4.709232598543167e-06,1.4729752138009644e-06,1.1860870122909546,1.0,0.24999910593032837,0.2500035762786865,0.24999892711639404,0.24999842047691345,0.9265521764755249
