beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.01666797697544098,0.01614522561430931,0.01666797697544098,0.0,1,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.01571779139339924,0.01569501869380474,0.01571779139339924,0.0,500,1.0,0.25,0.25,0.25,0.25
12.5,12.5,12.5,0.016484437510371208,0.016467686742544174,0.016484439373016357,0.15625,1000,1.0,0.24998661875724792,0.25000882148742676,0.24999956786632538,0.25000497698783875
40.0,40.0,40.0,0.016616404056549072,0.016604118049144745,0.01661640591919422,0.5,1500,1.0,0.24997583031654358,0.25003641843795776,0.24999377131462097,0.24999400973320007
67.5,67.5,67.5,0.01606062613427639,0.016051514074206352,0.016060631722211838,0.84375,2000,1.0,0.24998298287391663,0.24999643862247467,0.25001320242881775,0.25000739097595215
80.0,80.0,80.0,0.014499706216156483,0.014492606744170189,0.014499708078801632,1.0,2500,1.0,0.2500063180923462,0.24999500811100006,0.2499886006116867,0.25001007318496704
80.0,80.0,80.0,0.015280523337423801,0.015275182202458382,0.015280524268746376,1.0,3000,1.0,0.24999414384365082,0.24999386072158813,0.2500056028366089,0.25000643730163574
80.0,80.0,80.0,0.015209324657917023,0.015204343944787979,0.015209326520562172,1.0,3500,1.0,0.24998906254768372,0.2499915510416031,0.2500039339065552,0.2500154376029968
80.0,80.0,80.0,0.013494286686182022,0.013490661978721619,0.013494286686182022,1.0,4000,1.0,0.2500106692314148,0.2500021159648895,0.2499970942735672,0.24999010562896729
80.0,80.0,80.0,0.013517200946807861,0.013514373451471329,0.013517200946807861,1.0,4500,1.0,0.2499898225069046,0.24998602271080017,0.2500063478946686,0.25001782178878784
80.0,80.0,80.0,0.01382050197571516,0.013818003237247467,0.01382050197571516,1.0,5000,1.0,0.2500010132789612,0.250002920627594,0.24999864399433136,0.24999740719795227
80.0,80.0,80.0,0.01583091914653778,0.01582854986190796,0.01583091914653778,1.0,5500,1.0000001192092896,0.24999991059303284,0.2499919831752777,0.25000235438346863,0.2500057816505432
80.0,80.0,80.0,0.01419758889824152,0.01419578306376934,0.01419758889824152,1.0,6000,1.0,0.2500038743019104,0.25000283122062683,0.24999883770942688,0.2499944567680359
