baseline_loss,step
1.2730727195739746,1
0.025644129142165184,500
0.023403683677315712,1000
0.014835013076663017,1500
0.018280575051903725,2000
0.0158634502440691,2500
0.016789384186267853,3000
0.01667013205587864,3500
0.016692733392119408,4000
0.01761741004884243,4500
0.014796365983784199,5000
0.014078116975724697,5500
0.01879425346851349,6000
0.015361594036221504,6500
0.0151499779894948,7000
0.014629404060542583,7500
0.01701885089278221,8000
0.01742648333311081,8500
0.01396357174962759,9000
0.014948270283639431,9500
0.014099301770329475,10000
0.017414504662156105,10500
0.015752827748656273,11000
0.015179961919784546,11500
0.014969808980822563,12000
0.015810556709766388,12500
0.016993407160043716,13000
0.01779443398118019,13500
0.015399975702166557,14000
0.017267558723688126,14500
0.01635732688009739,15000
0.014644321985542774,15500
0.014681948348879814,16000
0.014553800225257874,16500
0.014144955202937126,17000
0.015356878750026226,17500
0.017171621322631836,18000
0.011981230229139328,18500
0.011567560955882072,19000
0.016332121565937996,19500
0.015365232713520527,20000
0.012936456128954887,20500
0.01563980057835579,21000
0.01491151936352253,21500
0.012334431521594524,22000
0.014656249433755875,22500
0.014784056693315506,23000
0.014391137287020683,23500
0.013114863075315952,24000
0.0146403843536973,24500
0.017115598544478416,25000
0.014752470888197422,25500
0.014621838927268982,26000
0.016960501670837402,26500
0.01275837142020464,27000
0.01601257175207138,27500
0.014584788121283054,28000
0.01374115888029337,28500
0.013098021037876606,29000
0.017834702506661415,29500
0.014289455488324165,30000
0.014723194763064384,30500
0.013507680967450142,31000
0.015164554119110107,31500
0.014104131609201431,32000
0.013733824715018272,32500
0.014617754146456718,33000
0.01356540434062481,33500
0.015787474811077118,34000
0.014256068505346775,34500
0.013167442753911018,35000
0.01591104455292225,35500
0.014027533121407032,36000
0.014990759082138538,36500
0.015427897684276104,37000
0.013428937643766403,37500
0.013516268692910671,38000
0.016774455085396767,38500
0.015175272710621357,39000
0.013576900586485863,39500
0.012718324549496174,40000
0.013952670618891716,40500
0.01444071065634489,41000
0.016057007014751434,41500
0.015247904695570469,42000
0.013199088163673878,42500
0.015494750812649727,43000
0.017265213653445244,43500
0.013994823209941387,44000
0.015201856382191181,44500
0.013893968425691128,45000
0.015251885168254375,45500
0.01772236078977585,46000
0.013976935297250748,46500
0.013447225093841553,47000
0.014477602206170559,47500
0.013412664644420147,48000
0.014276943169534206,48500
0.01377592608332634,49000
0.01354954857379198,49500
0.012614445760846138,50000
