beta_x,n,oracle_usage_0,oracle_usage_1,oracle_usage_2,oracle_usage_3,posterior_acc,risk_margin_mean,risk_margin_p05,risk_usage_0,risk_usage_1,risk_usage_2,risk_usage_3,route_excess_p95,route_excess_vs_sample_oracle,t,teacher_entropy_norm,teacher_usage_0,teacher_usage_1,teacher_usage_2,teacher_usage_3,v_t
80.0,10000,0.7613000273704529,0.11379999667406082,0.06469999998807907,0.06019999831914902,0.7353999614715576,0.0,0.0,1.0,0.0,0.0,0.0,1.4901161193847656e-08,3.5356728655955294e-09,0.019999999552965164,1.0,0.25,0.25,0.25,0.25,0.28508830070495605
80.0,10000,0.6991999745368958,0.15029999613761902,0.08250000327825546,0.06800000369548798,0.733299970626831,0.0,0.0,1.0,0.0,0.0,0.0,7.450580596923828e-09,1.8438324200786838e-09,0.1495652198791504,1.0,0.25,0.25,0.25,0.25,0.448286771774292
80.0,10000,0.6607000231742859,0.15800000727176666,0.1005999967455864,0.08070000261068344,0.7346999645233154,0.0,0.0,1.0,0.0,0.0,0.0,7.450580596923828e-09,1.5144235865349742e-09,0.2791304588317871,1.0,0.25,0.25,0.25,0.25,0.5742306113243103
80.0,10000,0.6491000056266785,0.16699999570846558,0.09950000047683716,0.0843999981880188,0.7321999669075012,0.0,0.0,1.0,0.0,0.0,0.0,3.725290298461914e-09,1.211278077839495e-09,0.40869566798210144,1.0,0.25,0.25,0.25,0.25,0.6714242696762085
80.0,10000,0.6394000053405762,0.18299999833106995,0.09570000320672989,0.08190000057220459,0.7297999858856201,0.0,0.0,1.0,0.0,0.0,0.0,3.725290298461914e-09,1.0185874366186454e-09,0.5382608771324158,1.0,0.25,0.25,0.25,0.25,0.7464305758476257
80.0,10000,0.6137999892234802,0.18029999732971191,0.10670000314712524,0.09920000284910202,0.7324999570846558,0.0,0.0,1.0,0.0,0.0,0.0,3.725290298461914e-09,9.140465051515889e-10,0.6678261160850525,1.0,0.25,0.25,0.25,0.25,0.8043148517608643
80.0,10000,0.5992000102996826,0.18299999833106995,0.11159999668598175,0.10620000213384628,0.7321000099182129,0.0,0.0,1.0,0.0,0.0,0.0,3.725290298461914e-09,8.11973543957123e-10,0.7973913550376892,1.0,0.25,0.25,0.25,0.25,0.848985493183136
80.0,10000,0.5813999772071838,0.19539999961853027,0.11079999804496765,0.11240000277757645,0.7217999696731567,8.152797881244567e-10,0.0,0.49790000915527344,0.0,0.5020999908447266,0.0,2.7939677238464355e-09,7.190741335705297e-10,0.9269565939903259,1.0,0.25,0.25,0.25,0.25,0.8834587335586548
80.0,10000,0.5662999749183655,0.20389999449253082,0.11289999634027481,0.1168999969959259,0.7146999835968018,9.052455313129926e-11,0.0,0.5900999903678894,0.0,0.4099000096321106,0.0,2.7939677238464355e-09,6.43054942628396e-10,1.0565217733383179,1.0,0.25,0.25,0.25,0.25,0.9100624322891235
80.0,10000,0.5504999756813049,0.19689999520778656,0.12449999898672104,0.12809999287128448,0.7026999592781067,0.0,0.0,1.0,0.0,0.0,0.0,1.862645149230957e-09,5.842651917831176e-10,1.1860870122909546,1.0,0.25,0.25,0.25,0.25,0.9305931925773621
80.0,10000,0.5354999899864197,0.20960000157356262,0.12139999866485596,0.13349999487400055,0.698199987411499,0.0,0.0,1.0,0.0,0.0,0.0,1.862645149230957e-09,5.214824128074724e-10,1.3156522512435913,1.0,0.25,0.25,0.25,0.25,0.9464371204376221
80.0,10000,0.5041999816894531,0.2045000046491623,0.13259999454021454,0.15870000422000885,0.6875,0.0,0.0,0.5095000267028809,0.49050000309944153,0.0,0.0,1.862645149230957e-09,5.11191311503012e-10,1.445217490196228,1.0,0.25,0.25,0.25,0.25,0.9586642980575562
80.0,10000,0.48579999804496765,0.20329999923706055,0.1386999934911728,0.17219999432563782,0.6668999791145325,3.0947847062812173e-10,0.0,0.5315999984741211,0.0,0.0,0.4684000015258789,1.3969838619232178e-09,4.1369346837072385e-10,1.5747824907302856,1.0,0.25,0.25,0.25,0.25,0.9681004285812378
80.0,10000,0.46959999203681946,0.2021999955177307,0.1485999971628189,0.17960000038146973,0.6571999788284302,3.023538641677703e-10,0.0,0.37400001287460327,0.6259999871253967,0.0,0.0,1.3969838619232178e-09,4.152418131564417e-10,1.7043477296829224,1.0,0.25,0.25,0.25,0.25,0.9753823280334473
80.0,10000,0.4406999945640564,0.1890999972820282,0.15929999947547913,0.21089999377727509,0.6401000022888184,0.0,0.0,1.0,0.0,0.0,0.0,1.3969838619232178e-09,3.8039868477390826e-10,1.833912968635559,1.0,0.25,0.25,0.25,0.25,0.9810020327568054
80.0,10000,0.4343000054359436,0.19699999690055847,0.15780000388622284,0.21089999377727509,0.625,0.0,0.0,1.0,0.0,0.0,0.0,1.1641532182693481e-09,3.4563127360165424e-10,1.9634782075881958,1.0,0.25,0.25,0.25,0.25,0.9853388071060181
80.0,10000,0.4194999933242798,0.18549999594688416,0.15060000121593475,0.2443999946117401,0.6121999621391296,0.0,0.0,1.0,0.0,0.0,0.0,9.313225746154785e-10,3.1935631916724105e-10,2.093043327331543,1.0,0.25,0.25,0.25,0.25,0.9886856079101562
80.0,10000,0.39419999718666077,0.17640000581741333,0.1598999947309494,0.2694999873638153,0.597599983215332,1.5355181015586084e-10,0.0,0.37380000948905945,0.0,0.0,0.6262000203132629,9.313225746154785e-10,2.453743874752945e-10,2.2226085662841797,1.0,0.25,0.25,0.25,0.25,0.9912684559822083
80.0,10000,0.3903999924659729,0.18279999494552612,0.1526000052690506,0.2741999924182892,0.5809999704360962,0.0,0.0,0.16590000689029694,0.0,0.8341000080108643,0.0,6.984919309616089e-10,2.5909394074652425e-10,2.3521738052368164,1.0,0.25,0.25,0.25,0.25,0.9932617545127869
80.0,10000,0.37619999051094055,0.16869999468326569,0.1599999964237213,0.29510000348091125,0.5690999627113342,0.0,0.0,0.01769999973475933,0.9822999835014343,0.0,0.0,6.984919309616089e-10,2.73666228567393e-10,2.481739044189453,1.0,0.25,0.25,0.25,0.25,0.9947999119758606
80.0,10000,0.37299999594688416,0.16279999911785126,0.1624000072479248,0.301800012588501,0.557699978351593,0.0,0.0,0.6467999815940857,0.0,0.3531999886035919,0.0,6.984919309616089e-10,2.2544699440629756e-10,2.61130428314209,1.0,0.25,0.25,0.25,0.25,0.9959869384765625
80.0,10000,0.37279999256134033,0.1501999944448471,0.16660000383853912,0.31040000915527344,0.5508999824523926,4.298635752908453e-11,0.0,0.10819999873638153,0.0,0.28780001401901245,0.6039999723434448,5.820766091346741e-10,1.6540870062531354e-10,2.7408695220947266,1.0,0.25,0.25,0.25,0.25,0.996903121471405
80.0,10000,0.35670000314712524,0.13079999387264252,0.17100000381469727,0.34150001406669617,0.5407999753952026,7.185735340087263e-11,0.0,0.1459999978542328,0.0,0.0,0.8539999723434448,4.656612873077393e-10,1.2957607209429511e-10,2.8704347610473633,1.0,0.25,0.25,0.25,0.25,0.9976099729537964
80.0,10000,0.3727000057697296,0.11670000106096268,0.16850000619888306,0.34209999442100525,0.5392999649047852,4.474422915512477e-11,0.0,0.19689999520778656,0.0,0.13650000095367432,0.6665999889373779,4.656612873077393e-10,1.3263924680817496e-10,3.0,1.0,0.25,0.25,0.25,0.25,0.9981556534767151
